ファイル名: SCON2(MJ0458-1E)_page469

<overview>
このページは「RCS4シリーズ」のアクチュエーター仕様一覧を示した表で構成されています。  
テキスト部分は表のタイトルと注釈、表部分はアクチュエーターのシリーズ別にタイプ、モーター出力、エンコーダーパルス数、リード長、取付け方向、最高速度、最大加減速度、最小押付け力、最大押付け力、定格押付け速度の仕様が詳細に記載されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.3 接続可能なアクチュエーターの仕様一覧
【RCS4シリーズ】のアクチュエーター仕様一覧表です。

### 表
#### RCS4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 [W] | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
|--------------------------|--------|------------------|-----------------------|-------------|------------|-----------------|------------------|------------------|------------------|-----------------------|
| RCS4 (テーブルタイプ)    | TA4C (シングルブロック仕様) | 60 | 16384 | 16 | 水平/垂直 | 900 | 1.2 | - | - | - |
|                          |        |                  |                       | 10          | 水平/垂直 | 600 | 1.2 | - | - | - |
|                          |        |                  |                       | 5           | 水平/垂直 | 300 | 1   | - | - | - |
|                          |        |                  |                       | 2.5         | 水平/垂直 | 150 | 0.7 | - | - | - |
|                          | TA4C (ダブルブロック仕様) | 60 | 16384 | 10 | 水平/垂直 | 600 | 1.2 | - | - | - |
|                          |        |                  |                       | 5           | 水平/垂直 | 300 | 1   | - | - | - |
|                          |        |                  |                       | 2.5         | 水平/垂直 | 150 | 0.7 | - | - | - |
|                          | TA6C (シングルブロック仕様) | 100 | 16384 | 20 | 水平/垂直 | 1100 | 1.2 | - | - | - |
|                          |        |                  |                       | 12          | 水平/垂直 | 720 | 1.2 | - | - | - |
|                          |        |                  |                       | 6           | 水平/垂直 | 360 | 1   | - | - | - |
|                          |        |                  |                       | 3           | 水平/垂直 | 180 | 0.7 | - | - | - |
|                          | TA6C (ダブルブロック仕様) | 100 | 16384 | 12 | 水平/垂直 | 720 (at 45～270st) / 575 (at 320st) | 1.2 | - | - | - |
|                          |        |                  |                       | 6           | 水平/垂直 | 360 (at 45～270st) / 285 (at 320st) | 1 | - | - | - |
|                          |        |                  |                       | 3           | 水平/垂直 | 180 (at 45～270st) / 140 (at 320st) | 0.7 | - | - | - |
|                          | TA7C (シングルブロック仕様) | 200 | 16384 | 24 | 水平/垂直 | 1300 | 1.2 | - | - | - |
|                          |        |                  |                       | 16          | 水平/垂直 | 960 | 1.2 | - | - | - |
|                          |        |                  |                       | 8           | 水平/垂直 | 480 | 1   | - | - | - |
|                          |        |                  |                       | 4           | 水平/垂直 | 240 | 0.7 | - | - | - |
|                          | TA7C (ダブルブロック仕様) | 200 | 16384 | 16 | 水平/垂直 | 960 (at 40～290st) / 730 (at 340st) / 600 (at 390st) | 1.2 | - | - | - |
|                          |        |                  |                       | 8           | 水平/垂直 | 480 (at 40～290st) / 365 (at 340st) / 300 (at 390st) | 1 | - | - | - |
|                          |        |                  |                       | 4           | 水平/垂直 | 240 (at 40～290st) / 180 (at 340st) / 150 (at 390st) | 0.7 | - | - | - |
|                          | TA4R (シングルブロック仕様) | 400 | 16384 | 16 | 水平/垂直 | 800 | 1 | - | - | - |
|                          |        |                  |                       | 10          | 水平/垂直 | 600 | 1 | - | - | - |
|                          |        |                  |                       | 5           | 水平/垂直 | 300 | 1 | - | - | - |
|                          |        |                  |                       | 2.5         | 水平/垂直 | 150 | 0.7 | - | - | - |
|                          | TA4R (ダブルブロック仕様) | 400 | 16384 | 10 | 水平/垂直 | 600 | 1 | - | - | - |
|                          |        |                  |                       | 5           | 水平/垂直 | 300 | 1 | - | - | - |
|                          |        |                  |                       | 2.5         | 水平/垂直 | 150 | 0.7 | - | - | - |
|                          | TA6R (シングルブロック仕様) | 100 | 16384 | 20 | 水平/垂直 | 1100 | 1.2 | - | - | - |
|                          |        |                  |                       | 12          | 水平/垂直 | 720 | 1.2 | - | - | - |
|                          |        |                  |                       | 6           | 水平/垂直 | 360 | 1 | - | - | - |
|                          |        |                  |                       | 3           | 水平/垂直 | 180 | 0.7 | - | - | - |
|                          | TA6R (ダブルブロック仕様) | 100 | 16384 | 12 | 水平/垂直 | 720 (at 45～270st) / 575 (at 320st) | 1.2 | - | - | - |
|                          |        |                  |                       | 6           | 水平/垂直 | 360 (at 45～270st) / 285 (at 320st) | 1 | - | - | - |
|                          |        |                  |                       | 3           | 水平/垂直 | 180 (at 45～270st) / 140 (at 320st) | 0.7 | - | - | - |
|                          | TA7R (シングルブロック仕様) | 200 | 16384 | 24 | 水平/垂直 | 1300 | 1.2 | - | - | - |
|                          |        |                  |                       | 16          | 水平/垂直 | 960 | 1.2 | - | - | - |
|                          |        |                  |                       | 8           | 水平/垂直 | 480 | 1 | - | - | - |
|                          |        |                  |                       | 4           | 水平/垂直 | 240 | 0.7 | - | - | - |
|                          | TA7R (ダブルブロック仕様) | 200 | 16384 | 16 | 水平/垂直 | 960 (at 40～290st) / 730 (at 340st) / 600 (at 390st) | 1.2 | - | - | - |
|                          |        |                  |                       | 8           | 水平/垂直 | 480 (at 40～290st) / 365 (at 340st) / 300 (at 390st) | 1 | - | - | - |
|                          |        |                  |                       | 4           | 水平/垂直 | 240 (at 40～290st) / 180 (at 340st) / 150 (at 390st) | 0.7 | - | - | - |

**注記:**  
- 「st」はストローク長の単位と思われる。  
- 最小押付け力、最大押付け力、定格押付け速度の欄はすべて空欄（記載なし）となっている。  
</contents>
