ファイル名: SCON2(MJ0458-1E)_page472

<overview>
このページは「接続可能なアクチュエーターの仕様一覧」を示す表で構成されています。  
テキスト部分は表のタイトルと注釈のみで、ページ全体の大部分は表形式のデータで占められています。  
表はアクチュエーターシリーズごとにタイプ、モーター出力、エンコーダーパルス数、リード(mm)、取付け方向、最高速度、最大加減速度、最小押付け力、最大押付け力、定格押付け速度の仕様を詳細に示しています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.3 接続可能なアクチュエーターの仕様一覧
- 【RCS3シリーズ】の各種アクチュエーターの仕様を一覧表で示す。
- 注釈：タイプが網掛けされた機種はオフボードチューニング機能に対応。ただし高加減速対応の設定がある場合は除く。
- オフボードチューニング機能の詳細は「IA-OSのヘルプ画面」を参照。

### 表
#### RCS3シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 (W) | エンコーダーパルス数 | リード (mm) | 取付け方向 | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付け力 (N) | 最大押付け力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|--------|-----------------|----------------------|-------------|------------|-----------------|-----------------|-----------------|-----------------|---------------------|
| SA8C                     |        | 100             | 16384                | 5           |            | 300 (at 50~650st) 250 (at 700st) 220 (at 750st) 190 (at 800st) 170 (at 850st) 160 (at 900st) 140 (at 950st) 130 (at 1000st) 120 (at 1050st) 110 (at 1100st) | 0.3             | -               | -               | -                   |
| 【クリーン仕様】RCS3CR / RCS3PCR (スライダータイプ) SS8C |        | 100 / 150       | 16384                | 30          | 水平/垂直 | 1800 (at 50~600st) 1660 (at 650st) 1460 (at 700st) 1295 (at 750st) 1155 (at 800st) 1035 (at 850st) 935 (at 900st) 850 (at 950st) 775 (at 1000st) | 水平:1 垂直:0.7 | -               | -               | -                   |
|                          |        |                 |                      | 20          | 水平/垂直 | 1200 (at 50~600st) 1105 (at 650st) 970 (at 700st) 860 (at 750st) 770 (at 800st) 690 (at 850st) 625 (at 900st) 565 (at 950st) 515 (at 1000st) | 0.7             | -               | -               | -                   |
|                          |        |                 |                      | 10          | 水平/垂直 | 600 (at 50~600st) 550 (at 650st) 485 (at 700st) 430 (at 750st) 385 (at 800st) 345 (at 850st) 310 (at 900st) 280 (at 950st) 255 (at 1000st) | 0.5             | -               | -               | -                   |
|                          |        | 100             | 16384                | 5           | 水平/垂直 | 300 (at 50~600st) 275 (at 650st) 240 (at 700st) 215 (at 750st) 190 (at 800st) 170 (at 850st) 150 (at 900st) 140 (at 950st) 125 (at 1000st) | 0.3             | -               | -               | -                   |
| RCS3 (高速タイプ)         | CTZ5C  | 60              | 16384                | 10          | 水平/垂直 | 833             | 3.2             | -               | -               | -                   |
|                          | CT8C   | 400             | 16384                | 30          | 水平       | 2500            | 3.2             | -               | -               | -                   |
| RCS3 (ロッドタイプ)       | RA6R   | 60              |                      | 1.5         |            | 75              | 0.3             | 60              | 600             | 10                  |
|                          | RA7R   | 100             | 16384                | 2           | 水平/垂直 | 100             | 0.3             | 200             | 1200            | 10                  |
|                          | RA8R   | 200             |                      | 2.5         |            | 125             | 0.2             | 200             | 2000            | 10                  |
|                          | RA10R  | 400             |                      | 2.5         |            | 125             | 0.2             | 600             | 6000            | 10                  |

</contents>
