ファイル名: SCON2(MJ0458-1E)_page474

<overview>
本ページは「接続可能なアクチュエーターの仕様一覧」を示しており、主に表形式で構成されています。表はRCS2シリーズの各アクチュエータータイプごとに、モーター出力、エンコーダーパルス数、リード長、取付け方向、最高速度、最大加減速度、最小押付け力、最大押付け力、定格押付け速度の仕様を詳細に記載しています。テキストは表の補足説明として、オフボードチューニング機能対応の注釈が付されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 接続可能なアクチュエーターの仕様一覧（RCS2シリーズ）
- 本表はRCS2シリーズのアクチュエーターの仕様を一覧化したものです。
- 注釈として、タイプに網掛けされた機種はオフボードチューニング機能に対応していることが記載されています。ただし、高加減速対応の設定がある場合は除く。
- オフボードチューニング機能の詳細は「IA-OSのヘルプ画面」を参照するよう案内されています。

### 表
#### RCS2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 (W) | エンコーダーパルス数 | リード (mm) | 取付け方向 | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付け力 (N) | 最大押付け力 (N) | 定格押付け速度 (mm/s) |
| :----------------------- | :----- | :-------------- | :------------------- | :---------- | :---------- | :-------------- | :--------------- | :---------------- | :---------------- | :--------------------- |
| RCS2 (スライダータイプ) | SS8C   | 100 / 150       | 16384                | 20          | 水平/垂直   | 1000 (50〜600st)<br>960 (700st)<br>765 (800st)<br>625 (900st)<br>515 (1000st) | 0.3              | -                 | -                 | -                      |
|                          |        |                 |                      | 10          |             | 500 (50〜600st)<br>480 (700st)<br>380 (800st)<br>310 (900st)<br>255 (1000st) | 0.3              |                   |                   |                        |
|                          | SS8R   | 100 / 150       | 16384                | 20          | 水平/垂直   | 1000 (50〜600st)<br>960 (700st)<br>765 (800st)<br>625 (900st)<br>515 (1000st) | 0.3              | -                 | -                 | -                      |
|                          |        |                 |                      | 10          |             | 500 (50〜600st)<br>480 (700st)<br>380 (800st)<br>310 (900st)<br>255 (1000st) | 0.3              |                   |                   |                        |
| RCS2 (ロッドタイプ)      | RA5C   | 60 / 100        | 16384                | 16          | 水平/垂直   | 800 (50〜250st)<br>755 (300st) | 0.3              | -                 | -                 | -                      |
|                          |        |                 |                      | 8           |             | 400 (50〜250st)<br>377 (300st) | 0.3              |                   |                   |                        |
|                          |        |                 |                      | 4           |             | 200 (50〜250st)<br>188 (300st) | 0.2              |                   |                   |                        |
|                          |        |                 |                      | 16          |             | 800 (50〜250st)<br>755 (300st) | 0.3 (高加減速対応:1) |                   |                   |                        |
|                          |        |                 |                      | 8           |             | 400 (50〜250st)<br>377 (300st) | 0.3 (高加減速対応:1) |                   |                   |                        |
|                          |        |                 |                      | 4           |             | 200 (50〜250st)<br>188 (300st) | 0.2              |                   |                   |                        |
|                          | RGS5C / RGD5C | 60 / 100  | 16384                | 16          | 水平/垂直   | 800 (50〜250st)<br>755 (300st) | 0.3              | -                 | -                 | -                      |
|                          |        |                 |                      | 8           |             | 400 (50〜250st)<br>377 (300st) | 0.3              |                   |                   |                        |
|                          |        |                 |                      | 4           |             | 200 (50〜250st)<br>188 (300st) | 0.2              |                   |                   |                        |
|                          |        |                 |                      | 16          |             | 800 (50〜250st)<br>755 (300st) | 0.3 (高加減速対応:1) |                   |                   |                        |
|                          |        |                 |                      | 8           |             | 400 (50〜250st)<br>377 (300st) | 0.3 (高加減速対応:1) |                   |                   |                        |
|                          |        |                 |                      | 4           |             | 200 (50〜250st)<br>188 (300st) | 0.2              |                   |                   |                        |
|                          | RA5R   | 60             | 16384                | 16          | 水平/垂直   | 800 (50〜250st)<br>755 (300st) | 0.3              | -                 | -                 | -                      |
|                          |        |                 |                      | 8           |             | 400 (50〜250st)<br>377 (300st) | 0.3              |                   |                   |                        |
|                          |        |                 |                      | 4           |             | 200 (50〜250st)<br>188 (300st) | 0.2              |                   |                   |                        |

（注）タイプが網掛けされた機種はオフボードチューニング機能に対応。ただし、高加減速対応の設定がある場合は除く。オフボードチューニング機能の詳細は「IA-OSのヘルプ画面」を参照。

</contents>
