ファイル名: SCON2(MJ0458-1E)_page476

<overview>
本ページは「接続可能なアクチュエーターの仕様一覧」を示しており、テキスト部分としてタイトルとシリーズ名が記載されています。表部分として、RCS2シリーズの各アクチュエーターのタイプ別にモーター出力、エンコーダーパルス数、リード(mm)、取付け方向、最高速度、最大加減速度、最小押付け力、最大押付け力、定格押付け速度の仕様が詳細にまとめられています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.3 接続可能なアクチュエーターの仕様一覧
【RCS2シリーズ】

### 表
#### RCS2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ           | モーター出力 (W) | エンコーダーパルス数 | リード (mm)          | 取付け方向 | 最高速度 (mm/s) | 最大加減速度 (G) | 最小押付け力 (N) | 最大押付け力 (N) | 定格押付け速度 (mm/s) |
|--------------------------|------------------|------------------|----------------------|----------------------|------------|-----------------|------------------|------------------|------------------|-----------------------|
| RCS2 (グリッパータイプ)  | GR8              | 60               | 16384                | 減速比1/5            | －         | 400             | 0.3              | －               | －               | －                    |
| RCS2 (フラットタイプ)    | F5D              | 60 / 100         | 16384                | 16 / 8 / 4           | 水平/垂直 | 800 / 400 / 200 | 0.3 / 0.3 / 0.2  | －               | －               | －                    |
| RCS2 (ロータリータイプ)  | RT6              | 60               | 16384                | 減速比1/18           | －         | 500度/s         | －                | －               | －               | －                    |
|                          | RT6R             | 60               | 16384                | 減速比1/18           | －         | 500度/s         | －                | －               | －               | －                    |
|                          | RT7R             | 60               | 16384                | 減速比1/4            | －         | 500度/s         | －                | －               | －               | －                    |
|                          | RTC10L           | 60               | 16384                | 減速比1/15、1/24     | －         | 1200度/s、750度/s | 0.3              | －               | －               | －                    |
|                          | RTC12L           | 150              | 16384                | 減速比1/18、1/30     | －         | 800度/s、600度/s | 0.3              | －               | －               | －                    |

</contents>
