ファイル名: SCON2(MJ0458-1E)_page489

<overview>
本ページは「ISA/ISPAシリーズ」の接続可能なアクチュエーターの仕様一覧を示す表で構成されています。テキスト部分はタイトルとシリーズ名の説明、表部分はアクチュエーターの各種仕様（タイプ、モーター出力、エンコーダーパルス数、リード長、取付け方向、最高速度、最大加減速度、押付け力、定格押付け速度）を詳細に記載しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### １０．３　接続可能なアクチュエーターの仕様一覧
【ISA/ISPAシリーズ】

### 表
#### ISA/ISPAシリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 [W] | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
| :----------------------- | :----- | :--------------- | :------------------- | :---------- | :---------- | :-------------- | :--------------- | :---------------- | :---------------- | :-------------------- |
| ISA/ISPA (スライダータイプ) | SXM SYM | 60 | 16384 | 16 | 水平/垂直 | 960 | 水平:1 垂直:0.7 | － | － | － |
|  |  |  |  | 8 | 水平/垂直 | 480 | 水平:0.6 垂直:0.5 | － | － | － |
|  |  |  |  | 4 | 水平/垂直 | 240 | 水平:0.5 垂直:0.3 | － | － | － |
|  | SZM | 60 | 16384 | 8 | 垂直 | 480 | 0.3 | － | － | － |
|  |  |  |  | 4 | 垂直 | 240 | 0.3 | － | － | － |
|  | MXM MYM | 100 | 16384 | 30 | 水平 | 1800 (at 100～700st) 1290 (at 800st) 1045 (at 900st) 860 (at 1000st) | 1 | － | － | － |
|  |  |  |  | 20 | 水平/垂直 | 1200 (at 100～700st) 860 (at 800st) 695 (at 900st) 570 (at 1000st) | 水平:1 垂直:0.8 | － | － | － |
|  |  |  |  | 10 | 水平/垂直 | 600 (at 100～700st) 430 (at 800st) 345 (at 900st) 280 (at 1000st) | 水平:0.6 垂直:0.5 | － | － | － |
|  |  |  |  | 5 | 水平/垂直 | 300 (at 100～700st) 215 (at 800st) 170 (at 900st) 140 (at 1000st) | 水平:0.5 垂直:0.3 | － | － | － |
|  | MXM MYM | 200 | 16384 | 30 | 水平/垂直 | 1800 (at 100～700st) 1290 (at 800st) 1045 (at 900st) 860 (at 1000st) | 1 | － | － | － |
|  |  |  |  | 20 | 水平/垂直 | 1200 (at 100～700st) 860 (at 800st) 695 (at 900st) 570 (at 1000st) | 水平:1 垂直:0.8 | － | － | － |
|  |  |  |  | 10 | 水平/垂直 | 600 (at 100～700st) 430 (at 800st) 345 (at 900st) 280 (at 1000st) | 水平:0.6 垂直:0.5 | － | － | － |
|  | MZM | 100 200 | 16384 | 10 | 垂直 | 600 (at 100～700st) 430 (at 800st) 345 (at 900st) 280 (at 1000st) | 0.5 | － | － | － |
|  |  |  |  | 5 (100Wのみ) | 垂直 | 300 (at 100～700st) 215 (at 800st) 170 (at 900st) 140 (at 1000st) | 0.3 | － | － | － |

</contents>
