ファイル名: SCON2(MJ0458-1E)_page505

<overview>
このページは「接続可能なアクチュエーターの仕様一覧」を示しており、主に表形式で構成されています。テキスト部分は表のタイトルと項目名、注釈的な説明はありません。表は「LSA/LSASシリーズ」のアクチュエーターの各種仕様（タイプ、モーター出力、エンコーダーパルス数、リード長、取付け方向、最高速度、最大加減速度、押付け力関連）を詳細に示しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.3 接続可能なアクチュエーターの仕様一覧
【LSA/LSASシリーズ】

### 表
| アクチュエーターシリーズ | タイプ | モーター出力 [W] | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
| :----------------------- | :----- | :--------------- | :------------------- | :---------- | :---------- | :-------------- | :-------------- | :--------------- | :--------------- | :--------------------- |
| LSA                      | S6SS S6SM | 100 | 48000 | 48 | 水平 | 2500 | 3 | - | - | - |
|                          | S8SS S8SM S8HS S8HM | 100 | 60000 | 60 | 水平 | 2500 | 3 | - | - | - |
|                          | S10SS S10SM | 200 | 90000 | 90 | 水平 | 2500 | 3 | - | - | - |
|                          | S10HS S10HM | 200S | 90000 | 90 | 水平 | 2500 | 3 | - | - | - |
|                          | H8SS H8SM H8HS H8HM | 200 | 50000 | 50 | 水平 | 2500 | 3 | - | - | - |
|                          | N10SS N10SM | 100S | 50000 | 50 | 水平 | 2500 | 3 | - | - | - |
|                          | L15SS L15SM | 200 | 50000 | 50 | 水平 | 2500 | 3 | - | - | - |
|                          | N15SS N15SM N15HS N15HM | 200S | 50000 | 50 | 水平 | 2500 | 3 | - | - | - |
|                          | N19SS N19SM | 300S | 72000 | 72 | 水平 | 2500 | 3 | - | - | - |
|                          | W21SS W21SM | 400 | 45000 | 45 | 水平 | 2500 | 3 | - | - | - |
| LSAS                     | N10SS N10SM | 100S | 50000 | 50 | 水平 | 2500 | 3 | - | - | - |
|                          | N15SS N15SM N15HS N15HM | 200S | 50000 | 50 | 水平 | 2500 | 3 | - | - | - |

</contents>
