ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page105

<overview>
本ページは「2.4 オプション」セクションの一部であり、XSELコントローラーに接続するアクチュエーターの種類ごとに必要な接続個数を算出するための表が中心に構成されています。ページ全体は以下の構成です。
- テキスト部分：接続個数の計算方法の説明
- 表部分：アクチュエーターの種類別に必要な接続個数を示した詳細な表
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 接続個数の計算方法
XSELコントローラーに接続するアクチュエーターの種類に応じて、必要な総個数を以下の算出表から選択し合計してください。

接続総個数 ＝ ①の個数 ＋ ②の個数 ＋ ③の個数

### 表
#### 表 2.4-3 回生抵抗ユニット個数算出表

| No. | アクチュエーターの種類 | 個数 |
| :---: | :--- | :--- |
| (1) | 水平設置の単軸アクチュエーターのモーター総容量 |  |
|  | 0～100W | 必要なし |
|  | ～600W | 1個 |
|  | ～1,200W | 2個 |
|  | ～1,800W | 3個 |
|  | ～2,400W | 4個 |
| (2) | 垂直設置の単軸アクチュエーターのモーター総容量 |  |
|  | 0～100W | 必要なし |
|  | ～600W | 1個 |
|  | ～1,000W | 2個 |
|  | ～1,400W | 3個 |
|  | ～2,000W | 4個 |
|  | ～2,400W | 5個 |
| (3) | スカラロボット |  |
|  | IX-NNN1205/1505/1805 | 必要なし |
|  | IX-NNN2515H/3515H、IX-NNW2515H/3515H、IX-TNN(UNN)3015H/3515H、IX-NNC2515H/3515H | 1個/台 |
|  | IX-NNN50□□H/60□□H、IX-NNW50□□H/60□□H、IX-HNN(INN)50□□H/60□□H、IX-NNC50□□H/60□□H | 3個/台 |
|  | IX-NNN70□□H/80□□H、IX-NNW70□□H/80□□H、IX-HNN(INN)70□□H/80□□H、IX-NNC70□□H/80□□H、IX-NNN10040/12040 | 4個/台 |
|  | IX-NSN5016H/NSN6016H | 3個/台 |
|  | IXA-□NNN1805 | 必要なし |
|  | IXA-□NNN3015、IXA-□NNN45□□、IXA-□NN60□□ | 2個/台 |
|  | IXA-4NNN80□□、IXA-4NNN100□□ | 6個/台 |
|  | IXA-□NSN3015、IXA-□NSN45□□ | 3個/台 |
|  | IXA-□NSN60□□ | 4個/台 |
|  | IXA-4NSN80□□ | 7個/台 |
|  | IXA-4NSN100□□ | 7個/台 |
|  | IXA-4NHN10040、IXA-4NHN12040 | 10個/台 |
|  | IXA-4NSC3015、IXA-4NSC45□□ | 3個/台 |
|  | IXA-4NSC60□□ | 4個/台 |
|  | IXA-4NSW3015、IXA-4NSW45□□ | 3個/台 |
|  | IXA-4NSW60□□ | 4個/台 |
|  | IXA-4NSW80□□、IXA-4NSW100□□ | 7個/台 |
|  | IXA-4NHW12040 | 10個/台 |

</contents>
