ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page161

<overview>
本ページは「3.5 PIO回路の配線」章の一部であり、主にPIOボードのポート割付けに関する説明が記載されています。構成は以下の通りです。
- テキスト部分：PIOボードの入力ポートおよび出力ポートの割付けに関する説明文
- 表部分：入力ポートNo.000～007までのパラメーター設定値と入力信号の機能を詳細に示した表
- グラフや図はなし
</overview>

<contents>
### テキスト
#### PIOボードのポート割付けについて
- 入力ポートNo.000～015および出力ポートNo.300～315は、I/Oパラメーターにより専用機能を設定可能。
- それ以外の入出力ポートNo.はすべて汎用入出力ポートとして自由に使用可能。
- ポートの任意割付けも可能。
- 詳細は「6.2.1 I/Oパラメーター」を参照。

### 表
#### 入力ポートの割付け

| ポートNo. | パラメーターNo. | 名称               | 設定値 | 入力信号の機能                                                                                   | 出荷時設定 |
|:---------:|:---------------:|:------------------:|:------:|:-----------------------------------------------------------------------------------------------|:----------:|
| 000       | No.30           | 入力機能選択000    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | プログラムスタート（プログラムNo.指定入力ポート=007～013 BCD指定）                             | ○          |
|           |                 |                    | 2      | プログラムスタート（プログラムNo.指定入力ポート=007～013 バイナリー指定）                     |            |
|           |                 |                    | 3      | プログラムスタート（プログラムNo.指定入力ポート=008～014 BCD指定）                           |            |
|           |                 |                    | 4      | プログラムスタート（プログラムNo.指定入力ポート=008～014 バイナリー指定）                     |            |
| 001       | No.31           | 入力機能選択001    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | ソフトウェアリセット信号                                                                       |            |
| 002       | No.32           | 入力機能選択002    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | サーボON信号                                                                                   |            |
| 003       | No.33           | 入力機能選択003    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | AUTOモードのとき、パワーONリセット/ソフトウェアリセットでプログラムオートスタート             | ○          |
|           |                 |                    | 2      | オートスタートプログラムのスタート                                                           |            |
| 004       | No.34           | 入力機能選択004    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | 全サーボ軸ソフトインターロック（常時ONのレベル信号）                                         |            |
| 005       | No.35           | 入力機能選択005    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | 動作一時停止解除（ONエッジ処理信号）                                                         |            |
| 006       | No.36           | 入力機能選択006    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | 動作一時停止信号（常時ONのレベル信号）                                                       |            |
| 007       | No.30 / No.37   | 入力機能選択007    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定ビット0                                            | ○          |
|           |                 |                    | 2      | 入力機能選択000=設定2 プログラムNo.バイナリー指定ビット0                                      |            |
|           |                 |                    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | 駆動源遮断解除入力（ONエッジ処理信号、要因が解除されている有効）                             |            |

注1：I/OパラメーターNo.44 入力機能選択014に2を設定することで、007～014に拡張可能。

</contents>
