ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page162

<overview>
このページは「3.5 PIO回路の配線」に関する内容で構成されています。主に表形式で構成されており、各ポート番号ごとにパラメーター番号、名称、設定値、入力信号の機能、出荷時設定の情報が詳細に記載されています。テキスト部分は表の見出しや説明が中心で、図やグラフは含まれていません。全体としては、PIO回路の各ポートの入力機能選択に関する設定内容を体系的に示した技術資料の一部です。
</overview>

<contents>
### 表部分
#### 3.5 PIO回路の配線

| ポートNo. | パラメーターNo. | 名称               | 設定値 | 入力信号の機能                                                                                   | 出荷時設定 |
|:---------:|:---------------:|:------------------:|:------:|:-----------------------------------------------------------------------------------------------|:----------:|
| 008       | No.38           | 入力機能選択008    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定 ビット1                                           |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定 ビット1                                     |            |
|           |                 |                    |        | 入力機能選択000=設定3 プログラムNo. BCD指定 ビット0                                           |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定 ビット0                                     |            |
| 009       | No.39           | 入力機能選択009    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定 ビット2                                           |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定 ビット2                                     |            |
|           |                 |                    |        | 入力機能選択000=設定3 プログラムNo. BCD指定 ビット1                                           |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定 ビット1                                     |            |
| 010       | No.40           | 入力機能選択010    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定 ビット3                                           |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定 ビット3                                     |            |
|           |                 |                    |        | 入力機能選択000=設定3 プログラムNo. BCD指定 ビット2                                           |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定 ビット2                                     |            |
| 011       | No.41           | 入力機能選択011    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定ビット4                                            |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定ビット4                                      |            |
|           |                 |                    |        | 入力機能選択000=設定3 プログラムNo. BCD指定ビット3                                            |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定ビット3                                      |            |
| 012       | No.42           | 入力機能選択012    | 0      | 汎用入力                                                                                       | ○          |
|           |                 |                    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定ビット5                                            |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定ビット5                                      |            |
|           |                 |                    |        | 入力機能選択000=設定3 プログラムNo. BCD指定ビット4                                            |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定ビット4                                      |            |
| 013       | No.30 / No.43   | 入力機能選択000=0,1または2<br>入力機能選択000=3または4 | 0      | 汎用入力                                                                                       | ○          |
|           |                 | 入力機能選択013    | 1      | 入力機能選択000=設定1 プログラムNo. BCD指定ビット6                                            |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定ビット6                                      |            |
|           |                 |                    | 2      | エラーリセット（ONエッジ）                                                                     |            |
|           |                 |                    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | 入力機能選択000=設定3 プログラムNo. BCD指定ビット5                                            |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定ビット5                                      |            |
| 014       | No.30 / No.44   | 入力機能選択000=0,1または2<br>入力機能選択000=3または4 | 0      | 汎用入力                                                                                       |            |
|           |                 | 入力機能選択014    | 1      | 駆動源遮断解除入力（ONエッジ処理信号、要因が解除されている有効）                             |            |
|           |                 |                    | 2      | 入力機能選択000=設定1 プログラムNo. BCD指定ビット7                                            |            |
|           |                 |                    |        | 入力機能選択000=設定2 プログラムNo.バイナリー指定ビット7                                      |            |
|           |                 |                    | 0      | 汎用入力                                                                                       |            |
|           |                 |                    | 1      | 入力機能選択000=設定3 プログラムNo. BCD指定ビット6                                            |            |
|           |                 |                    |        | 入力機能選択000=設定4 プログラムNo.バイナリー指定ビット6                                      |            |
|           |                 |                    | 2      | エラーリセット（ONエッジ）                                                                     |            |

</contents>
