ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page172

<overview>
本ページは「3.5 PIO回路の配線」セクションの一部で、入力48点/出力48点用PIOケーブルの仕様と配線構成について説明しています。ページ構成は以下の通りです。
- テキスト部分：ケーブル型式の説明、ケーブル長の指定方法、注釈
- 図部分：ケーブルの構造図（コネクタ、ピン番号、ケーブル長Lの示意）
- 表部分：入力・出力ピン番号ごとの色、ポート番号、機能の一覧表
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### 入力48点/出力48点用PIOケーブル
- 型式：CB-X-PIOH□□□（□□□はケーブル長Lを記入、最長10mまで対応。例：020=2m）
- ケーブルはフラットケーブル（50心）UL2651 AWG28×2を使用
- ケーブルは2本に分かれており、ケーブル1はピン1～50、ケーブル2はピン51～100に対応
- 注1：2枚目（スロットNo.2）のPIOボードのポートNo.は、I/OパラメーターNo.1～5の設定により割り付けられる

### 図
```mermaid
flowchart LR
    CN1[コネクタ CN1 (100ピン)]
    CN1 -->|ピン1～50| ケーブル1[ケーブル1]
    CN1 -->|ピン51～100| ケーブル2[ケーブル2]
    ケーブル1 --> L[ケーブル長 L (最長10m)]
    ケーブル2 --> L
```
- 図中に「切放し」「フラットケーブル（50心）UL2651 AWG28×2」「ソケット：HIF6-100D1.27R（ヒロセ）」の注記あり

### 表
#### PIOケーブル ピン割り当て一覧

| 区分 | ピン番号 | 色   | ポートNo. | 機能                         |
| :--- | :------- | :---- | :-------- | :--------------------------- |
| -    | 1        | 茶-1 | -         | 外部供給電源 DC24V ピンNo.2～25/51～74用 |
| 入力 | 2        | 赤-1 | 000       | プログラムスタート           |
| 入力 | 3        | 橙-1 | 001       | 汎用入力                    |
| 入力 | 4        | 黄-1 | 002       | 汎用入力                    |
| 入力 | 5        | 緑-1 | 003       | 汎用入力                    |
| 入力 | 6        | 青-1 | 004       | 汎用入力                    |
| 入力 | 7        | 紫-1 | 005       | 汎用入力                    |
| 入力 | 8        | 灰-1 | 006       | 汎用入力                    |
| 入力 | 9        | 白-1 | 007       | プログラム起動（PRG.No.1）  |
| 入力 | 10       | 黒-1 | 008       | プログラム起動（PRG.No.2）  |
| 入力 | 11       | 茶-2 | 009       | プログラム起動（PRG.No.4）  |
| 入力 | 12       | 赤-2 | 010       | プログラム起動（PRG.No.8）  |
| 入力 | 13       | 橙-2 | 011       | プログラム起動（PRG.No.10） |
| 入力 | 14       | 黄-2 | 012       | プログラム起動（PRG.No.20） |
| 入力 | 15       | 緑-2 | 013       | プログラム起動（PRG.No.40） |
| 入力 | 16～50   | 各色  | 014～047  | 汎用入力                   |
| -    | 26       | 青-3 | -         | 外部供給電源 DC24V ピンNo.27～50/76～99用 |
| 入力 | 27～50   | 各色  | 024～047  | 汎用入力                   |

| 区分 | ピン番号 | 色   | ポートNo. | 機能                         |
| :--- | :------- | :---- | :-------- | :--------------------------- |
| 出力 | 51       | 茶-1 | 300       | アラーム出力                |
| 出力 | 52       | 赤-1 | 301       | レディー出力                |
| 出力 | 53       | 橙-1 | 302       | 非常停止出力               |
| 出力 | 54       | 黄-1 | 303       | 汎用出力                   |
| 出力 | 55～99   | 各色  | 304～347  | 汎用出力                   |
| -    | 75       | 緑-3 | -         | 外部供給電源 DC24V ピンNo.2～25/51～74用 |
| -    | 100      | 黒-5 | -         | 外部供給電源 DC24V ピンNo.27～50/76～99用 |

- ポートNo.はI/OパラメーターNo.1～5の設定により割り付けられる

</contents>
