ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page217

<overview>
本ページは「5.2 ビジョンシステムインターフェイス機能」の一部であり、TCP/IP通信設定に関する説明が記載されています。構成は以下の通りです。
- テキスト部分：TCP/IP通信設定の概要説明
- 表部分：I/Oパラメーター（No.172～183）の詳細一覧（パラメーター名称、出荷時設定値、入力範囲、単位、備考）
- グラフや図はなし
</overview>

<contents>
### テキスト
#### TCP/IP通信設定
標準EthernetのTCP/IP設定（IPアドレス、サブネットマスク、デフォルトゲートウェイ）は、I/OパラメーターNo.172～183で行います。

（注）I/OパラメーターNo.132～143はEthernet系フィールドネットワーク用のTCP/IP設定（IPアドレス・サブネットマスク・デフォルトゲートウェイ）のため、使用しません。

### 表
#### I/Oパラメーター一覧（No.172～183）

| No.  | パラメーター名称                     | 出荷時設定値 | 入力範囲 | 単位 | 備考                           |
| :--- | :--------------------------------- | :----------- | :------- | :--- | :----------------------------- |
| 172  | イーサーネットI/F 自IPアドレス（H） | 192          | 1～255   | －   | ※0、および127は設定禁止       |
| 173  | イーサーネットI/F 自IPアドレス（MH）| 168          | 0～255   | －   | －                            |
| 174  | イーサーネットI/F 自IPアドレス（ML）| 0            | 0～255   | －   | －                            |
| 175  | イーサーネットI/F 自IPアドレス（L） | 1            | 1～254   | －   | ※0、および255は設定禁止       |
| 176  | イーサーネットI/F サブネットマスク（H） | 255          | 0～255   | －   | －                            |
| 177  | イーサーネットI/F サブネットマスク（MH）| 255          | 0～255   | －   | －                            |
| 178  | イーサーネットI/F サブネットマスク（ML）| 255          | 0～255   | －   | －                            |
| 179  | イーサーネットI/F サブネットマスク（L） | 0            | 0～255   | －   | －                            |
| 180  | イーサーネットI/F デフォルトゲートウェイ（H） | 0            | 0～255   | －   | －                            |
| 181  | イーサーネットI/F デフォルトゲートウェイ（MH）| 0            | 0～255   | －   | －                            |
| 182  | イーサーネットI/F デフォルトゲートウェイ（ML）| 0            | 0～255   | －   | －                            |
| 183  | イーサーネットI/F デフォルトゲートウェイ（L） | 0            | 0～255   | －   | －                            |
</contents>
