ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page223

<overview>
このページは「シンクロ機能」の使用時の注意事項と、シンクロ軸の位置ずれを補正するための参考プログラムが記載されています。構成は以下の通りです。
- テキスト部分：シンクロ機能使用時の注意点の説明
- 表部分：参考プログラムの命令一覧とコメント
- グラフ・図部分はなし
</overview>

<contents>
### テキスト
#### シンクロ機能使用時の注意事項
- サーボON時にマスター軸とスレーブ軸の現在位置がずれている場合、自動的に微速で補正が行われる。
- 出荷時に軸別パラメーターNo.38「エンコーダーABS／INC種類」がマスター軸＝1（ABS）、スレーブ軸＝1（ABS）に設定されている場合も、サーボON時に位置ずれがあれば自動的に微速補正される。
  - スレーブ軸側スライダーがマスター軸側スライダーの座標表示位置へ微速で移動する。
- サーボOFF中のずれが大きいシステムでは、サーボOFF後にPRDQ命令で現在位置を取得し、スレーブ軸とマスター軸の位置差が±0.3mm以下になるまで補正を待ってから動作系命令を指令すること。

#### 参考プログラム
サーボON後にマスター軸とスレーブ軸の現在位置を読み取り、2軸間の距離が0.3mm以下になったらグローバルフラグ600番をONにするプログラム。動作系命令は600番がONした後に指令する。

### 表
| Cmnd  | Operand 1 | Operand 2 | コメント                                                                                   |
|-------|-----------|-----------|--------------------------------------------------------------------------------------------|
| SVON  | 1         |           | シンクロ軸をサーボONします。                                                               |
| BTOF  | 600       |           | 600番フラグをOFFします。                                                                   |
| LET   | 100       | 1.000     | 変数100番に1（0.2より大きい数）を代入します。                                             |
| DWGT  | 100       | 0.300     | 変数100番が0.3以下になったらループを抜けます。（マスター軸とスレーブ軸の距離が0.3mm以下になったらループを抜ける） |
| PRDQ  | 1         | 100       | マスター軸の現在位置を変数100番に代入します。                                             |
| PRDQ  | 2         | 101       | スレーブ軸の現在位置を変数101番に代入します。                                             |
| SUB   | 100       | *101      | 変数100番から101番を引算します。                                                          |
| IFLT  | 100       | 0.000     | 引算の結果がマイナスならば、                                                                 |
| MULT  | 100       | -1.000    | -1を掛けてプラスの数にします。                                                            |
| EDIF  |           |           |                                                                                            |
| EDDO  |           |           |                                                                                            |
| BTON  | 600       |           | 600番フラグをONします。                                                                    |
| EXIT  |           |           |                                                                                            |
</contents>
