ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page249

<overview>
本ページは「5.5 IXAスカラロボットのコンプライアンス制御機能」に関する内容で、主に表形式で構成されています。表はロボット制御に関するコマンド一覧を示しており、各コマンドの番号、条件、コマンド名、オペランド（Operand1、Operand2）、ポスト（Pst）、およびコメントが記載されています。テキスト部分はページ上部に章タイトルがあり、表の下部や周辺に追加の説明や図、グラフはありません。
</overview>

<contents>
### 表
#### IXAスカラロボットのコンプライアンス制御機能コマンド一覧

| No. | E | N | Cnd | Cmnd  | Operand1 | Operand2 | Pst | Comment                     |
|-----|---|---|-----|-------|----------|----------|-----|-----------------------------|
| 1   |   |   |     | VELS  | 10       |          |     | (1) PTP速度設定             |
| 2   |   |   |     | ACCS  | 5        |          |     | (1) PTP加速度設定           |
| 3   |   |   |     | DCLS  | 5        |          |     | (1) PTP減速度設定           |
| 4   |   |   |     | VEL   | 100      |          |     | (1) CP速度設定              |
| 5   |   |   |     |       |          |          |     |                             |
| 6   |   |   |     | COMP  | 0        | 11       |     | (2) コンプライアンス無効化  |
| 7   |   |   |     | SLTL  | 0        |          |     | (3) ツール座標系0選択       |
| 8   |   |   |     |       |          |          |     |                             |
| 9   |   |   |     | SVON  | 1111     |          |     | (4) スカラロボットサーボON  |
| 10  |   |   |     | MOVP  | 1        |          |     | (5) Z軸待避位置移動         |
| 11  |   |   |     | MOVP  | 2        |          |     | (6) 挿入位置上空移動         |
| 12  |   |   |     |       |          |          |     |                             |
| 13  |   |   |     | LET   | 21       | &B0001   |     | (7) 探索軸11設定            |
| 14  |   |   |     | LET   | 22       | 50000    |     | (7) 探索無効エリア50mm      |
| 15  |   |   |     | GRP   | 1111     |          |     | (7) 探索対象ロボット指定    |
| 16  |   |   |     | SCLO  | 0        | 21       |     | (7) 探索動作設定            |
| 17  |   |   |     |       |          |          |     |                             |
| 18  |   |   |     | COMP  | 1        | 11       |     | (8) コンプライアンス有効化  |
| 19  |   |   |     |       |          |          |     |                             |
| 20  |   |   |     | PAPR  | 100      | 10       |     | (9) 押付け速度距離設定      |
| 21  |   |   |     | PTRQ  | 100      | 30       |     | (9) 押付け力設定            |
| 22  |   |   |     | PUSH  | 3        |          |     | (10) 押付け動作（ピン挿入） |
| 23  |   |   |     | TIMW  | 10       |          |     | (11) 挿入待ち               |
| 24  |   |   |     | COMP  | 0        | 11       |     | (12) コンプライアンス無効化 |
| 25  |   |   |     |       |          |          |     |                             |
| 26  |   |   |     | PRDQ  | 3        | 100      |     | (13) Z軸現在位置リード      |
| 27  |   |   |     | CPGT  | 100      | 120.000  | 900 | (13) Z軸現在位置チェック    |
| 28  | 900|  |     | MOVP  | 10       |          |     | (14) 挿入成功でハンド開     |
| 29  |   |   |     |       |          |          |     |                             |
| 30  |   |   |     | MOVP  | 1        |          |     | (15) Z軸待避位置移動        |

</contents>
