ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page260

<overview>
このページは「IXAスカラロボットのコンプライアンス制御機能」に関するパラメーター一覧を示しています。  
構成は以下の通りです。  
- テキスト部分：パラメーターの説明や備考の詳細  
- 表部分：パラメーターの一覧表（No.、パラメーター名称、出荷時設定値、入力範囲、単位、備考）  
- グラフや図はなし  
</overview>

<contents>
### テキスト
#### 5.5.7 関連するパラメーター一覧
- 全軸共通パラメーターとして、スカラ軸コントロール1やコンプライアンス制御制限帯実位置侵入限界角度、コンプライアンス探索動作有効パターン初期値などが記載されている。
- 備考欄にはビットごとの機能説明や、スカラロボットの特定軸に有効な設定値の詳細が記載されている。
- 角度や距離の単位、入力範囲、出荷時設定値も明示されている。

### 表
#### 関連するパラメーター一覧（抜粋）

| No.  | パラメーター名称                                   | 出荷時設定値           | 入力範囲           | 単位       | 備考                                                                                                         |
| :--- | :----------------------------------------------- | :--------------------- | :----------------- | :--------- | :----------------------------------------------------------------------------------------------------------- |
| 51   | スカラ軸コントロール1（第1～4軸）                | アクチュエータ/ロボット依存 | 0H～FFFFFFFFH      | ―          | ビット0-3：システム予約<br>ビット4-7：システム予約<br>ビット8-11：スカラZ位置→水平移動最適化(PTP)<br>ビット12-15：スカラZ位置→水平移動最適化(CP)<br>ビット16-19：スカラ軸位置ゲイン切替え機能選択<br>ビット20-23：コンプライアンスJ1・J2軸トルク制限制御有効選択初期値 |
| 153  | コンプライアンス制御制限帯実位置侵入限界角度（第1～4軸） | 4500                  | 1～99999999       | 0.001deg   | アーム2（J2軸）角度 メーカー調整用                                                                             |
| 154  | コンプライアンス探索動作有効パターン初期値（第1～4軸） | アクチュエータ/ロボット依存 | 0B～11111111B      | ―          | スカラロボットのJ1軸とJ2軸にかぎり有効。<br>・00000001B（J1軸）<br>・00000010B（J2軸）<br>・00000011B（J1とJ2軸） が有効な設定値。                     |
| 155  | コンプライアンス探索動作無効Z軸押付け動作エリア初期値（第1～4軸） | 0                     | 0～99999999       | 0.001mm    | スカラロボットZ軸押付け動作（PUSH命令）目標ポジションから手前の距離を指定                                         |
| 156  | コンプライアンス探索動作遷移Z軸電流（第1～4軸） | 50                    | 0～70             | %          |                                                                                                              |
| 157  | コンプライアンス探索動作遷移判定時間（第1～4軸） | 10                    | 0～1000           | ms         |                                                                                                              |
| 228  | スカラ軸コントロール1（第5～8軸）                | アクチュエータ/ロボット依存 | 0H～FFFFFFFFH      | ―          | 51番と同様のビット説明                                                                                         |
| 241  | コンプライアンス制御制限帯実位置侵入限界角度（第5～8軸） | 4500                  | 1～99999999       | 0.001deg   | アーム2（J2軸）角度 メーカー調整用                                                                             |
| 242  | コンプライアンス探索動作有効パターン初期値（第5～8軸） | アクチュエータ/ロボット依存 | 0B～11111111B      | ―          | スカラロボットのJ1軸とJ2軸にかぎり有効。<br>・00010000B（J1軸）<br>・00100000B（J2軸）<br>・00110000B（J1とJ2軸） が有効な設定値。                     |
| 243  | コンプライアンス探索動作無効Z軸押付け動作エリア初期値（第5～8軸） | 0                     | 0～99999999       | 0.001mm    | 155番と同様                                                                                                   |
| 244  | コンプライアンス探索動作遷移Z軸電流（第5～8軸） | 50                    | 0～70             | %          |                                                                                                              |
| 245  | コンプライアンス探索動作遷移判定時間（第5～8軸） | 10                    | 0～1000           | ms         |                                                                                                              |
</contents>
