ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page262

<overview>
本ページは「5.5 IXAスカラロボットのコンプライアンス制御機能」内の「5.5.8 関連するエラー」に関する内容で構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・対処方法が記載された表が中心です。テキストはエラーの原因や対処法の詳細説明で占められており、図やグラフは含まれていません。
</overview>

<contents>
### テキスト・表
#### 5.5.8 関連するエラー
動作解除レベルに関するエラー一覧とその内容・対処方法を示しています。

| No.  | エラー名称                         | 内容・対処                                                                                                                       |
| :--- | :-------------------------------- | :------------------------------------------------------------------------------------------------------------------------------- |
| 412  | 排他モード指定エラー               | 【内容・原因】<br>同時に有効にできないモードを指定している。<br>・クイックリターンモード（QRTN命令）とトラッキングモード（TRAC・TRMD命令）<br>・コンプライアンス制御と衝突検知機能<br>・衝突検知機能有効中にECMD250命令実行<br>・コンプライアンス制御とアブソリュートリセット<br>【対処方法】<br>同時に有効指定しないようにSELプログラム・パラメーター設定値を見直す。 |
| 413  | トラッキング動作中禁止命令実行エラー | 【内容・原因】<br>トラッキング動作中、禁止されている命令を実行しようとした。<br>・CP移動命令以外の移動系SEL命令<br>・SVON命令<br>・HOME命令<br>・CHVL命令<br>・PUSH命令<br>・COMP1命令など<br>【対処方法】<br>TRAC命令でトラッキング動作を終了させてから実行する。 |
| 4C6  | 動作継続復旧条件不成立エラー     | 【内容・原因】<br>動作継続復旧条件を満たさないため、停止解除後の復旧ができなかった。<br>・コンプライアンスモード中に停止させた<br>【対処方法】<br>コンプライアンスモード中に停止させる可能性がある場合は、動作継続復旧タイプの停止は使用しない（パラメーターNo.10、11の復旧種類＝動作継続復旧）。 |
| 4C7  | コンプライアンス制御軸エラー停止検出 | 【内容・原因】<br>コンプライアンスモード中のスカラロボット軸でエラーが発生し、コンプライアンス制御を停止した。<br>このエラーは他のエラーによりコンプライアンス制御が無効化されたことを示す。<br>【対処方法】<br>エラーリストでコンプライアンス制御を停止する要因となった他軸のエラー情報（同一タイミングで発生）を確認し、エラーが発生しないように対処する。 |
| B46  | コンプライアンスゲイン操作エラー | 【内容・原因】<br>コンプライアンスゲインの設定に誤りがある。<br>・不正なゲイン種類の操作を試みた<br>【対処方法】<br>SELプログラムのSCLG命令（コンプライアンスゲイン設定）の設定内容を確認し、適切な値に修正する。 |
| B47  | コンプライアンスモード操作エラー | 【内容・原因】<br>コンプライアンスモード中に禁止されている操作が行われた。<br>・コンプライアンスモード中にオプション設定を変更（SCLO命令実行）<br>・コンプライアンスモード中に軸別パラメーターNo.258、259の値を変更<br>【対処方法】<br>コンプライアンスモードを無効にして、SCLO命令の実行・軸別パラメーターNo.258・259の値を変更する。 |
| B48  | 座標系定義データエラー           | 【内容・原因】<br>ワーク座標系・ツール座標系のデータに異常がある。<br>【対処方法】<br>エラー発生したSEL命令の取扱説明書を確認し、データの変更や座標系選択No.の変更を行う。 |

</contents>
