ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page298

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の情報で構成されています。ページ全体は表部分のみで構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が詳細に記載されています。テキストやグラフは含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（No.55～62）

| No. | パラメーター名称               | 初期値（参考） | 入力範囲    | 単位 | 備考                                                                                                                         |
|-----|-------------------------------|----------------|-------------|------|------------------------------------------------------------------------------------------------------------------------------|
| 55  | 出力機能選択 309              | 0              | 0～5        | ―    | 0:汎用出力<br>1:第5軸インポジション出力（押付け空振り時OFF）<br>2:第5軸サーボON中出力（システム監視タスク出力）<br>3:システム予約<br>※標準モーション制御軸にかぎり有効<br>注意：I/OパラメーターNo.308“出力機能選択 309 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 56  | 出力機能選択 310              | 0              | 0～5        | ―    | 0:汎用出力<br>1:第6軸インポジション出力（押付け空振り時OFF）<br>2:第6軸サーボON中出力（システム監視タスク出力）<br>3:システム予約<br>※標準モーション制御軸にかぎり有効<br>注意：I/OパラメーターNo.309“出力機能選択 310 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 57  | 出力機能選択 311              | 0              | 0～5        | ―    | 0:汎用出力<br>1:第7軸インポジション出力（押付け空振り時OFF）<br>2:第7軸サーボON中出力（システム監視タスク出力）<br>3:システム予約<br>※標準モーション制御軸にかぎり有効<br>注意：I/OパラメーターNo.310“出力機能選択 311 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 58  | 出力機能選択 312              | 0              | 0～5        | ―    | 0:汎用出力<br>1:第8軸インポジション出力（押付け空振り時OFF）<br>2:第8軸サーボON中出力（システム監視タスク出力）<br>3:システム予約<br>※標準モーション制御軸にかぎり有効<br>注意：I/OパラメーターNo.311“出力機能選択 312 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 59  | 出力機能選択 313              | 0              | 0～5        | ―    | 0:汎用出力<br>1:システム予約<br>注意：I/OパラメーターNo.312“出力機能選択 313 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 60  | 出力機能選択 314              | 0              | 0～5        | ―    | 0:汎用出力<br>1:アブソデータバックアップバッテリー電圧低下警告レベル以下（全軸ORチェック。異常レベル検出後は、パワーONリセット・ソフトウェアリセットまでラッチ。）<br>※標準モーション制御軸にかぎり有効<br>注意：I/OパラメーターNo.313“出力機能選択 314 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 61  | 出力機能選択 315              | 0              | 0～5        | ―    | 0:汎用出力<br>注意：I/OパラメーターNo.314“出力機能選択 315 割付ポートNo.”で、機能割付けポートNo.の変更が可能 |
| 62  | 第1軸ブレーキ強制リリース物理入力ポートNo. | 0              | 0～3,999    | ―    | 該当ポートON時、ブレーキ強制アンロック（落下注意）。<br>※0時無効（入力ポートNo.0指定時無効）<br>※シンクロスレーブ軸は、シンクロマスター軸に従う。<br>※標準モーション制御軸にかぎり有効<br>注意：スカラロボット使用時は、システム予約になる。 |

</contents>
