ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page301

<overview>
このページは「6.2 パラメーター一覧」の一部であり、主にパラメーターの詳細を表形式で示しています。ページ全体は表部分で構成されており、各パラメーターのNo.、名称、初期値、入力範囲、単位、備考が記載されています。テキストやグラフは含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（No.104～122）

| No.  | パラメーター名称     | 初期値（参考） | 入力範囲           | 単位 | 備考                                                                                   |
| :--- | :------------------ | :------------- | :----------------- | :--- | :------------------------------------------------------------------------------------- |
| 104  | システム予約         | 28100010h      | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 105  | システム予約         | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 106  | システム予約         | 28100020h      | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 107  | システム予約         | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 108  | システム予約         | 28100010h      | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 109  | システム予約         | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 110  | システム予約         | 28100020h      | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 111  | システム予約         | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 112  | システム予約         | 28100030h      | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 113  | システム予約         | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 114  | システム予約         | 28100040h      | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 115  | システム予約         | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
| 116～119 | （拡張用）       | 0              | ―                  | ―    |                                                                                         |
| 120  | ネットワーク属性1    | 641001h        | 0h～FFFFFFFFh      | ―    | ビット0-3：システム予約<br>ビット4-11：ネットワークI/Fモジュール1リンク異常確認タイマー値(10ms)<br>ビット12-15：将来拡張用<br>ビット16-27：システム予約<br>ビット28-31：ネットワークI/Fモジュール1リンク異常時入力ポートデータ選択（0：クリアー、1：ホールド） |
| 121  | ネットワーク属性2    | C80000h        | 0h～FFFFFFFFh      | ―    | ビット0-7：ネットワークI/Fモジュール2リンク異常確認タイマー値(10ms)<br>ビット8-11：ネットワークI/Fモジュール2リンク異常時入力ポートデータ選択（0：クリアー、1：ホールド）<br>ビット12-15：システム予約<br>ビット16-27：フィールドバス初期化時リンクタイムアウト値(100ms)<br>ビット28-31：EtherCAT PDOマッピング種別（0：可変、1：32Byte固定） |
| 122  | ネットワーク属性3    | 0h             | 0h～FFFFFFFFh      | ―    |                                                                                         |
</contents>
