ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page305

<overview>
本ページはパラメーター一覧の一部であり、主に表形式で構成されています。内容はI/Oパラメーターに関する詳細な設定項目の一覧で、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が記載されています。テキスト部分は表の説明や備考欄に限定されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（No.171～202）

| No.  | パラメーター名称                         | 初期値（参考） | 入力範囲       | 単位 | 備考                                                                                          |
| :--- | :------------------------------------- | :------------- | :------------- | :--- | :-------------------------------------------------------------------------------------------- |
| 171  | イーサネットI/F 自MACアドレス（L）     | 0h             | 参照のみ（HEX） | －   |                                                                                              |
| 172  | イーサネットI/F 自IPアドレス（H）       | 192            | 1～255         | －   | ※0、および127は設定禁止                                                                      |
| 173  | イーサネットI/F 自IPアドレス（MH）      | 168            | 0～255         | －   |                                                                                              |
| 174  | イーサネットI/F 自IPアドレス（ML）      | 0              | 0～255         | －   |                                                                                              |
| 175  | イーサネットI/F 自IPアドレス（L）       | 1              | 1～254         | －   | ※0、および255は設定禁止                                                                      |
| 176  | イーサネットI/F サブネットマスク（H）   | 255            | 0～255         | －   |                                                                                              |
| 177  | イーサネットI/F サブネットマスク（MH）  | 255            | 0～255         | －   |                                                                                              |
| 178  | イーサネットI/F サブネットマスク（ML）  | 255            | 0～255         | －   |                                                                                              |
| 179  | イーサネットI/F サブネットマスク（L）   | 0              | 0～255         | －   |                                                                                              |
| 180  | イーサネットI/F デフォルトゲートウェイ（H） | 0              | 0～255         | －   |                                                                                              |
| 181  | イーサネットI/F デフォルトゲートウェイ（MH）| 0              | 0～255         | －   |                                                                                              |
| 182  | イーサネットI/F デフォルトゲートウェイ（ML）| 0              | 0～255         | －   |                                                                                              |
| 183  | イーサネットI/F デフォルトゲートウェイ（L） | 0              | 0～255         | －   |                                                                                              |
| 184  | CC-Link IE リモートレジスター（入力）ワード数（RWw） | 0              | 0～64          | －   | CC-Link IE時のリモートレジスター数（スレーブ局から見た入力）<br>※入出力使用時、No.185と同値に設定<br>※CC-Link IE Field使用時のみ設定可 |
| 185  | CC-Link IE リモートレジスター（出力）ワード数（RWr） | 0              | 0～64          | －   | CC-Link IE時のリモートレジスター数（スレーブ局から見た出力）<br>※入出力使用時、No.184と同値に設定<br>※CC-Link IE Field使用時のみ設定可 |
| 186～200 | （拡張用）                          | 0              |                | －   |                                                                                              |
| 201  | ユーザー開放SIOチャンネル1属性1          | 28100001h      | 0h～FFFFFFFFh  | －   | ビット28-31：ボーレート種別（0:9.6、1:19.2、2:38.4、3:57.6、4:76.8、5:115.2、6:230.4kbps）<br>ビット24-27：データ長（7～8）<br>ビット20-23：ストップビット長（1～2）<br>ビット16-19：パリティ種別（0:無し、1:奇数、2:偶数）<br>ビット12-15：将来拡張用<br>ビット8-11：将来拡張用<br>ビット4-7：将来拡張用<br>ビット0-3：使用選択（0:不使用、1:使用）※アプリケーションレベルで使用 |
| 202  | ユーザー開放SIOチャンネル1属性2          | 00000001h      | 0h～FFFFFFFFh  | －   |                                                                                              |

</contents>
