ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page306

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式のデータで構成されています。ページ全体は表部分のみで構成されており、テキスト説明やグラフ、図は含まれていません。表はパラメーター番号、名称、初期値、入力範囲、単位、備考の項目で構成され、各パラメーターの詳細な設定内容や注意事項が記載されています。
</overview>

<contents>
### 表部分
#### I/Oパラメーター一覧（No.203～227）

| No. | パラメーター名称                         | 初期値（参考） | 入力範囲               | 単位 | 備考                                                                                                   |
|-----|-----------------------------------------|----------------|------------------------|------|--------------------------------------------------------------------------------------------------------|
| 203 | ユーザー開放 SIO チャンネル1属性3       | 01118040h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 204 | ユーザー開放 SIO チャンネル1属性4       | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 205 | ユーザー開放 SIO チャンネル1属性5       | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 206 | ユーザー開放 SIO チャンネル1属性6       | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 207 | ユーザー開放 SIO チャンネル1属性7       | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 208 | ユーザー開放 SIO チャンネル1属性8       | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 209 | ユーザー開放 SIO チャンネル1属性9       | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 210 | ユーザー開放 SIO チャンネル1属性10      | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 211 | ユーザー開放 SIO チャンネル1属性11      | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 212 | ユーザー開放 SIO チャンネル1属性12      | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 213 | システム予約                             | 28100001h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 214 | システム予約                             | 00000001h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 215 | システム予約                             | 01118040h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 216 | システム予約                             | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 217～218 | システム予約                         | 0b             | 0b～11111111b          | —    |                                                                                                        |
| 219～224 | システム予約                         | 00000000h      | 0h～FFFFFFFFh          | —    |                                                                                                        |
| 225 | ネットワーク I/F モジュールコントロール | 0              | 0h～FFFFFFFFh          | —    | ビット0-7：ネットワークI/Fモジュール1種別（0～5H：システム予約、6H：EtherCAT、7H：EtherNet/IP、B～FH：システム予約）<br>ビット8-15：ネットワークI/Fモジュール2種別（0h：システム予約、1H：CC-Link、2H：DeviceNet、3H：PROFIBUS-DP、4～CH：システム予約、DH：CC-Link IE Field、B～FH：システム予約）<br>注意：EtherNet/IP、CC-Link IE Fieldの同時装着不可 |
| 226 | ネットワーク I/F モジュール1ノードアドレス | 0              | 0～99,999,999           | —    | 設定可能範囲<br>・EtherCAT時：0～65535<br>※EtherNet/IPは設定不要                                               |
| 227 | ネットワーク I/F モジュール1通信速度     | 0              | 0～9                    | —    | ・EtherNet/IP時：<br> (0：オートネゴシエーション、1：10Mbps（半二重）、2：10Mbps（全二重）、3：100Mbps（半二重）、4：100Mbps（全二重）)<br>※EtherCATは設定不要 |

</contents>
