ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page307

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する詳細な表形式のデータで構成されています。ページ全体は表部分のみで構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が一覧で示されています。テキストやグラフ、図は含まれていません。
</overview>

<contents>
### 表部分
#### I/Oパラメーター一覧（抜粋）

| No. | パラメーター名称 | 初期値（参考） | 入力範囲 | 単位 | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 228 | ネットワークI/Fモジュール1 フィールドバスネットワーク番号 | 0 | 0～99,999,999 | ― | ※EtherCAT、EtherNet/IPは設定不要 |
| 229～230 | （拡張用） | 0 | ― | ― |  |
| 231 | ネットワークI/Fモジュール2 リモート入力使用ポート数 | 0 | 0～1,024 | ― | 8の倍数 ※CC-Link IE Field以外入力範囲0～256 |
| 232 | ネットワークI/Fモジュール2 リモート出力使用ポート数 | 0 | 0～1,024 | ― | 8の倍数 ※CC-Link IE Field以外入力範囲0～256 |
| 233 | ネットワークI/Fモジュール2 固定割付け時拡張入力ポート開始No. | -1 | -1～3,999 | ― | 0+（8の倍数）（0～299） 1,000+（8の倍数）（1,000～3,999） ※-1を設定すると無効 |
| 234 | ネットワークI/Fモジュール2 固定割付け時拡張出力ポート開始No. | -1 | -1～6,999 | ― | 300+（8の倍数）（300～599） 4,000+（8の倍数）（4,000～6,999） ※-1を設定すると無効 |
| 235 | ネットワークI/Fモジュール2 異常監視 | 1 | 0～5 | ― | 0:非監視 1:監視 ※一部例外有り |
| 236 | システム予約 | 0h | 0h～FFFFFFFFh | ― |  |
| 237 | ネットワークI/Fモジュール2 ノードアドレス | 0 | 0～99,999,999 | ― | 設定可能範囲 ・CC-Link時:1～64 ・DeviceNet時:0～63 ・PROFIBUS-DP時:0～125 ・CC-Link IE Field時:1～120 |
| 238 | ネットワークI/Fモジュール2 通信速度 | 0 | 0～9 | ― | ・CC-Link時: (0:156kbps、1:625kbps、2:2.5Mbps、3:5Mbps、4:10Mbps) ・DeviceNet時: (0:125kbps、1:250kbps、2:500kbps) ※PROFIBUS-DP、CC-Link IE Field時は設定不要 |
| 239 | ネットワークI/Fモジュール2 フィールドバスネットワーク番号 | 0 | 0～99,999,999 | ― | CC-Link IE Field時:1～239 |
| 240～282 | （拡張用） | 0 | ― | ― |  |
| 283 | 入力機能選択000 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.30 “入力機能選択000”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.0に割付 |
| 284 | 入力機能選択001 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.31 “入力機能選択001”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.1に割付 |
| 285 | 入力機能選択002 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.32 “入力機能選択002”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.2に割付 |
| 286 | 入力機能選択003 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.33 “入力機能選択003”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.3に割付 |
| 287 | 入力機能選択004 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.34 “入力機能選択004”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.4に割付 |
| 288 | 入力機能選択005 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.35 “入力機能選択005”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.5に割付 |
| 289 | 入力機能選択006 割付ポートNo. | -1 | -1～3,999 | ― | I/OパラメーターNo.36 “入力機能選択006”の機能割付けポートNo.を指定 ※マイナス時、入力ポートNo.6に割付 |

</contents>
