ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page311

<overview>
このページは「6.2 パラメーター一覧」の一部であり、I/Oパラメーターに関する表形式の情報で構成されています。ページ全体は表部分のみで構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考・考察が詳細に記載されています。テキストやグラフ、図は含まれていません。
</overview>

<contents>
### 表
#### I/Oパラメーター一覧（No.331～338）

| No.  | パラメーター名称               | 初期値（参考） | 入力範囲 | 単位 | 備考・考察                                                                                                  |
| :--- | :----------------------------- | :------------- | :------- | :--- | :---------------------------------------------------------------------------------------------------------- |
| 331  | 出力機能選択300（エリア2）     | 0              | 0～20    | ―    | 0：汎用出力<br>1：動作解除レベル以上のエラー出力（ON）<br>2：動作解除レベル以上のエラー出力（OFF）<br>3：動作解除レベル以上のエラー＋非常停止出力（ON）<br>4：動作解除レベル以上のエラー＋非常停止出力（OFF）<br>5：コールドスタートレベル以上のエラー出力（ON）<br>6：コールドスタートレベル以上のエラー出力（OFF）<br>7：メンテナンス情報アラート機能関連メッセージレベル（エラーNo.231～232）のエラー出力（ON）<br>8：メンテナンス情報アラート機能関連メッセージレベル（エラーNo.231～232）のエラー出力（OFF） |
| 332  | 出力機能選択301（エリア2）     | 0              | 0～20    | ―    | 0：汎用出力<br>1：READY出力（PIOトリガープログラム運転可）<br>2：READY出力（PIOトリガープログラム運転可、かつ動作解除レベル以上エラーが発生していない）<br>3：READY出力（PIOトリガープログラム運転可、かつコールドスタートレベル以上エラーが発生していない） |
| 333  | 出力機能選択302（エリア2）     | 0              | 0～20    | ―    | 0：汎用出力<br>1：非常停止出力（ON）<br>2：非常停止出力（OFF）                                                                                                  |
| 334  | 出力機能選択303（エリア2）     | 0              | 0～5     | ―    | 0：汎用出力<br>1：AUTOモード出力<br>2：自動運転中出力（その他パラメーターNo.12）                                                                                  |
| 335  | 出力機能選択304（エリア2）     | 0              | 0～5     | ―    | XSEL-RA/SAの場合<br>0：汎用出力<br>1：全有効軸原点（=0）時出力<br>2：全有効軸原点復帰完了状態（座標確定）時出力<br>3：全有効軸原点プリセット座標時出力<br>※ABSエンコーダー軸を、座標0または原点プリセット座標に移動させる場合は、HOME命令ではなくMOVP命令を使用してください。<br>※標準モーション制御軸に限り有効<br><br>XSEL-RAX/SAXの場合<br>0：汎用出力<br>1：全有効直動軸原点（=0）時出力<br>2：全有効直動軸原点復帰完了状態（座標確定）時出力<br>3：全有効直動軸原点プリセット座標時出力<br>※ABSエンコーダー直動軸を、座標0または原点プリセット座標に移動させる場合は、HOME命令ではなくMOVP命令を使用してください。<br>※標準モーション制御軸に限り有効 |
| 336  | 出力機能選択305（エリア2）     | 0              | 0～5     | ―    | 0：汎用出力<br>1：第1軸インポジション出力（押付空振り時OFF）<br>2：第1軸サーボON中出力（システム監視タスク出力）<br>3：システム予約<br>※標準モーション制御軸用                                                                 |
| 337  | 出力機能選択306（エリア2）     | 0              | 0～5     | ―    | 0：汎用出力<br>1：第2軸インポジション出力（押付空振り時OFF）<br>2：第2軸サーボON中出力（システム監視タスク出力）<br>3：システム予約<br>※標準モーション制御軸用                                                                 |
| 338  | 出力機能選択307（エリア2）     | 0              | 0～5     | ―    | 0：汎用出力<br>1：第3軸インポジション出力（押付空振り時OFF）<br>2：第3軸サーボON中出力（システム監視タスク出力）<br>3：システム予約<br>※標準モーション制御軸用                                                                 |
</contents>
