ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page324

<overview>
このページは「6.2 パラメーター一覧」の一部であり、「2. 全軸共通パラメーター（XSEL-RA/SA）」に関する内容です。主に表形式で構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が詳細に記載されています。テキストは表の説明や備考欄に集中しており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 全軸共通パラメーター一覧（抜粋）

| No. | パラメーター名称                         | 初期値(参考) | 入力範囲   | 単位   | 備考                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|-----|----------------------------------------|--------------|------------|--------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 18  | MAX 運転加減速度チェックタイミング       | 1            | 0～1       | ―      | 0: 入力時チェック<br>PC/TPが全軸パラメーターNo.22「加速度MAX」、No.23「減速度MAX」で入力チェックを行う。<br>1: 動作時チェック<br>動作時チェックの場合、指定加減速度の分配加減速度（CP）または指定加減速度（PTP）と各軸運転加減速度MAXパラメーターが比較チェックされ、可能加減速度にクランプされる。動作コマンドに応じシステムの最高パフォーマンスが得られる。入力時は完全なチェック不可。CP時は動作開始位置により加減速度が変化。 |
| 19  | 定常（非押付け）トルクリミットオーバー時処理種類 | 0            | 0～9       | ―      | 0: 動作解除レベルエラー（推奨）<br>1: 動作キャンセル（SEL命令出力部はOFF）<br>過負荷などドライバーエラー優先<br>軸別パラメーターNo.167が「0」以外の場合、本設定により強制的に動作解除レベルエラーになる。                                                                                                                                                                                                                                         |
| 20  | MAX 運転速度チェックタイミング           | 1            | 0～1       | ―      | 0: 入力時チェック<br>1: 動作時チェック<br>「1」の場合、指定速度の分配速度（CP）または指定速度（PTP）と各軸運転速度MAXパラメーターが比較チェックされ、可能速度にクランプされる。動作コマンドに応じシステムの最高パフォーマンスが得られる。入力時は完全なチェック不可。CP時は動作開始位置により速度が変化。                                                                                                                                               |
| 21  | 入力値チェック用運転速度MAX              | 1,000        | 1～9,999   | mm/s   | MAX速度チェックタイミング=入力時の場合、本パラメーターで入力エラーチェックを行う。                                                                                                                                                                                                                                                                                                                                                                                               |
| 22  | 加速度MAX                              | 100          | 1～999     | 0.01G  | 軸別パラメーターNo.134「軸別運転加速度MAX」が有効な場合は、No.134の設定値で軸ごとに制限される。                                                                                                                                                                                                                                                                                                                                                                                   |
| 23  | 減速度MAX                              | 100          | 1～999     | 0.01G  | 軸別パラメーターNo.135「軸別運転減速度MAX」が有効な場合は、No.135の設定値で軸ごとに制限される。                                                                                                                                                                                                                                                                                                                                                                                   |
| 24  | 緊急減速度MIN                         | 30           | 1～300     | 0.01G  | 軸別パラメーターNo.136「軸別緊急減速度MIN」が有効な場合は、No.136の設定値で軸ごとに制限される。                                                                                                                                                                                                                                                                                                                                                                                   |
| 25～27 | システム予約（変更禁止）               | 0            | ―          | ―      | ―                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| 28  | インチング→ジョグ自動切換禁止選択        | 0            | 0～5       | ―      | 0: 自動切換実行（ボタン連続ONタイマー）<br>1: 禁止<br>PC・TPが参照                                                                                                                                                                                                                                                                                                                                                                                                                 |

</contents>
