ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page337

<overview>
このページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関する詳細なパラメーター表が掲載されています。ページ全体は表形式で構成されており、各パラメーターの番号、名称、初期値（参考）、入力範囲、単位、備考が列挙されています。テキスト部分は主に備考欄に説明が記載されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.20〜44）

| No. | パラメーター名称                     | 初期値（参考） | 入力範囲                     | 単位       | 備考                                                                                                                         |
|-----|------------------------------------|----------------|-----------------------------|------------|------------------------------------------------------------------------------------------------------------------------------|
| 20  | 原点復帰時 Z 相サーチ速度           | 3              | 1〜10                       | mm/s       | リード・エンコーダパルス数により制限あるため要注意                                                                             |
| 21  | 原点復帰時オフセット移動量           | 1,000          | -99,999,999〜99,999,999     | 0.001mm    | Z 相理想位置からのオフセット移動量（正値＝エンドから離れる方向）<br>ABSエンコーダ一時注意事項あり。詳細は備考参照。           |
| 22  | 原点復帰時 Z 相位置チェッ ク許容値  | 500            | 0〜99,999,999               | 0.001mm    | ロータリーエンコーダー時、エンド（メカorLS）-Z相距離MIN許容値。リニアエンコーダー時Z相サーチ限界。                         |
| 23  | エンコーダー1回転Z相個数             | 1              | 1〜8                        | —          | ABSエンコーダー時は1だけ使用可能。リニアエンコーダー時無効。                                                                   |
| 24  | 原点復帰時押付け停止確認時間         | 700            | 1〜5,000                    | ms         | 原点復帰の押付け確認に使用。                                                                                                   |
| 25  | 位置決め時押付け停止確認時間         | 500            | 1〜5,000                    | ms         | PUSH命令の押付け確認に使用。                                                                                                   |
| 26  | システム予約（変更禁止）              | 0              | —                           | —          | —                                                                                                                             |
| 27  | モーター速度MAX                      | 5,000          | 1〜99,999                   | —          | ロータリーエンコーダー時[rpm]、リニアエンコーダー時[mm/s]（変更禁止）                                                         |
| 28  | 軸別運転速度MAX                     | 1,000          | 1〜9,999                   | mm/s       | —                                                                                                                             |
| 29  | VLMX速度                           | 1,000          | 1〜9,999                   | mm/s       | VLMX動作時は軸別運転速度MAXとVLMX速度の小さい方を該当軸最高速度として処理。                                                    |
| 30  | サーボON確認時間                    | 150            | 0〜5,000                   | ms         | ブレーキ装着時：サーボON開始からブレーキ解除までの時間<br>ブレーキなしの時：サーボON開始から動作可能状態までの時間             |
| 31  | 原点復帰時オフセット移動速度         | 3              | 1〜500                     | mm/s       | —                                                                                                                             |
| 32  | Z相-エンド実距離                   | -1             | -1〜99,999                 | 0.001mm    | エンド（メカorLS）からの距離絶対値。マイナス時自動取得。アクチュエーター組合せ時は自動取得→フラッシュライト推奨。           |
| 33  | Z相-エンド理想距離                 | 0              | 0〜99,999                  | 0.001mm    | エンド（メカorLS）からの距離絶対値。                                                                                           |
| 34  | ブレーキ装着指定                   | 0              | 0〜1                       | —          | 0：非装着<br>1：装着                                                                                                         |
| 35  | ブレーキアンロック確認時間           | 150            | 0〜3,000                   | ms         | ブレーキアンロック開始レスポンス取得〜動作可能状態遷移間の時間                                                                 |
| 36  | ブレーキロック確認時間              | 300            | 0〜1,000                   | ms         | ブレーキロック開始レスポンス取得〜サーボOFF開始間の時間                                                                         |
| 37  | エンコーダーリニア/ロータリー種類    | 0              | 0〜1                       | —          | 0：ロータリーエンコーダー<br>1：リニアエンコーダー                                                                             |
| 38  | エンコーダーABS/INC種類             | 0              | 0〜1                       | —          | 0：インクリメンタル<br>1：アブソリュート                                                                                       |
| 39  | 磁極センサー装着指定（将来拡張用）  | 1              | 0〜1                       | —          | 0：非装着<br>1：装着                                                                                                         |
| 40  | システム予約（変更禁止）              | 0              | —                           | —          | —                                                                                                                             |
| 41  | システム予約（変更禁止）              | 25             | —                           | —          | —                                                                                                                             |
| 42  | エンコーダー分解能                 | 131,072        | 0〜99,999,999              | パルス/rev 0.001μm/パルス | ロータリーエンコーダー時パルス（分周前）/rev<br>リニアエンコーダー時0.001μm/パルス（分周前）                                      |
| 43  | エンコーダー分周率                 | 3              | -7〜7                      | —          | パルスが（1/2のn乗）倍される。                                                                                                 |
| 44  | 測長補正                           | 0              | -99,999,999〜99,999,999    | 0.001mm/1M | 直線移動軸時だけ有効。（エンコーダー基準Z点以外の座標は比例的に変化する。）                                                     |

</contents>
