ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page341

<overview>
このページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関する詳細なパラメーター設定表が掲載されています。構成は主に表形式で、パラメーター番号、名称、初期値、入力範囲、単位、備考の6つの列から成り立っています。テキスト部分は表の説明や備考欄にあり、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（XSEL-RA/SA）

| No. | パラメーター名称               | 初期値(参考) | 入力範囲                         | 単位     | 備考                                                                                          |
|-----|-------------------------------|--------------|---------------------------------|----------|-----------------------------------------------------------------------------------------------|
| 86  | ゾーン1MAX                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン1出力範囲の上限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 87  | ゾーン1MIN                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン1出力範囲の下限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 88  | ゾーン1出力No.                | 0            | 0～6999                         | ―        | 物理的出力ポート or グローバルフラグ or 拡張出力ポート。0時出力無効、重複指定無効。            |
| 89  | ゾーン2MAX                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン2出力範囲の上限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 90  | ゾーン2MIN                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン2出力範囲の下限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 91  | ゾーン2出力No.                | 0            | 0～6999                         | ―        | 物理的出力ポート or グローバルフラグ or 拡張出力ポート。0時出力無効、重複指定無効。            |
| 92  | ゾーン3MAX                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン3出力範囲の上限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 93  | ゾーン3MIN                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン3出力範囲の下限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 94  | ゾーン3出力No.                | 0            | 0～6999                         | ―        | 物理的出力ポート or グローバルフラグ or 拡張出力ポート。0時出力無効、重複指定無効。            |
| 95  | ゾーン4MAX                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン4出力範囲の上限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 96  | ゾーン4MIN                    | 0            | -99,999,999～99,999,999         | 0.001mm  | ゾーン4出力範囲の下限値を設定。MAX>MIN時に有効。領域通過時間3ms以上確保必要。                  |
| 97  | ゾーン4出力No.                | 0            | 0～6999                         | ―        | 物理的出力ポート or グローバルフラグ or 拡張出力ポート。0時出力無効、重複指定無効。            |
| 98～100 | (拡張用)                  | 0h           | ―                               | ―        |                                                                                               |
| 101 | 連続運転可能トルク超過許容時間 | 0            | 0～300                         | s        | 0時、連続運転可能トルク超過時間監視しない。                                                  |
| 102 | (拡張用)                      | 0h           | ―                               | ―        |                                                                                               |
| 103 | ブレーキ出力制御方法選択       | 0            | 0～1                           | ―        | 0: システムブレーキ制御（軸別パラメーターNo.3“ブレーキ装着指定”=「1(装着)」時に使用）<br>1: ユーザー制御（軸別パラメーターNo.34“ブレーキ装着指定”=「0(非装着)」時に使用、仮想入出力ポートNo.7301～7308でユーザー制御可能） |

</contents>
