ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page342

<overview>
このページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関する詳細なパラメーター情報を表形式で示しています。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が列挙されています。テキストやグラフはなく、パラメーターの仕様説明が中心です。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（XSEL-RA/SA）

| No.  | パラメーター名称                             | 初期値（参考） | 入力範囲           | 単位     | 備考                                                                                                                         |
| :--- | :----------------------------------------- | :------------- | :----------------- | :------- | :--------------------------------------------------------------------------------------------------------------------------- |
| 104  | マルチスライダー過接近検出対象軸指定       | 0h             | 0h～FFFFFFFFh      | －       | ビット0-3：過接近検出対象相手軸No.（自軸座標プラス移動側）<br>ビット4-7：過接近検出対象相手軸No.（自軸座標マイナス移動側）<br>※相手軸と相互入力必要（ペア中、軸No.小さいほうが便宜上のマルチスライダー主軸）<br>※分解能関連同一特性軸にかぎり指定可。<br>※シンクロ仕様時は必ずシンクロ主軸を指定（シンクロ従軸指定禁止）。<br>※自軸座標該当移動側に隣接スライダーがない場合は「0」を設定。 |
| 105  | マルチスライダー有効ストローク             | 0              | 0～99,999,999      | 0.001mm  | マルチスライダー過接近検出対象両軸が動作範囲内における「許容され得るもっとも離れた位置でのスライダー間距離」－「許容され得るもっとも接近した位置でのスライダー間距離」を設定してください。<br>※マルチスライダー主軸側パラメーターにかぎり有効。 |
| 106  | マルチスライダー過接近時緊急減速度マージン | 5              | 0～999             | 0.01G    |                                                                                                                              |
| 107  | マルチスライダー設定ビットパターン1         | 12h            | 0h～FFFFFFFFh      | －       | ビット0-3：マルチスライダー実位置過接近検出マージン［mm］（マルチスライダー主軸側パラメーターにかぎり有効）<br>ビット4-7：マルチスライダー指令位置過接近検出マージン［mm］（マルチスライダー主軸側パラメーターにかぎり有効） |
| 108  | シンクロ従軸位置決め時制御切換幅             | 5,000          | 1～99,999          | 0.001mm  | シンクロ従軸時にかぎり有効。<br>※関連情報：軸別パラメーターNo.52                                                                 |
| 109  | ボールねじスプライン（直線移動軸＋回転移動軸）補正相手軸指定 | 0              | 0～8               | －       | 相互入力必要<br>0：無効<br>1～8：相手軸No.<br>※関連情報：軸別パラメーターNo.1                                               |
| 110  | システム予約（変更禁止）                     | 0              | －                 | －       |                                                                                                                              |
| 111  | システム予約（変更禁止）                     | 0              | －                 | －       |                                                                                                                              |
| 112  | システム予約（変更禁止）                     | 1              | －                 | －       |                                                                                                                              |
| 113  | OLWL ドライバー過負荷警告ロードレベル比      | 100            | 50～100            | %        | ドライバー過負荷異常ロードレベルからの％で設定（100時無効）<br>※コントローラーの負荷率計算は、モーター焼損を防ぐため、ホットスタートを想定し、起動時初期温度を高めに推定しています（安全サイド）。よって、故障予兆監視の下ドライバー過負荷警告出力を使用する場合の誤認識防止のため、コントローラー起動から所定期間経過後の初回サーボONまで、ドライバー過負荷警告を検出しない仕様としています。 |
| 114  | OLWNO ドライバー過負荷警告出力No.           | 0              | 0～6,999           | －       | 物理的出力ポート（0時出力無効、重複指定無効）<br>※B接点                                                                 |

</contents>
