ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page344

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RA/SA）に関する詳細なパラメーター表が掲載されています。ページ構成は主に表形式で、パラメーター番号、名称、初期値、入力範囲、単位、備考の6項目で構成されています。テキスト部分は表の説明や補足的な注釈が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（XSEL-RA/SA）

| No.  | パラメーター名称                                   | 初期値（参考） | 入力範囲                  | 単位       | 備考                                                                                         |
| :--- | :----------------------------------------------- | :------------- | :------------------------ | :--------- | :------------------------------------------------------------------------------------------- |
| 135  | 軸別運転減速度 MAX                               | 0              | 0～999                   | 0.01G      | 「0」を設定している場合は無効。無効の場合、全軸パラメーターNo.23 “減速度 MAX”により制限される。 |
| 136  | 軸別緊急減速度 MIN                               | 0              | 0～999                   | 0.01G      | 「0」を設定している場合は無効。無効の場合、全軸パラメーターNo.24 “緊急減速度 MIN”により制限される。 |
| 137～140 | （拡張用）                                     | 0              | ―                        | ―          |                                                                                              |
| 141  | 原点プリセット値自動更新基準座標                 | 0              | -99,999,999～99,999,999  | 0.001mm/0.001deg | ※ボールねじスプライン軸にかぎり有効。関連情報：軸別パラメーターNo.10,12,144                  |
| 142  | ボールねじスプライン（直線移動軸＋回転移動軸）回転移動軸→直線移動軸補正座標方向選択 | 0              | 0～1                      | ―          | 0：回転移動軸座標プラス方向→直線移動軸座標プラス方向補正<br>1：回転移動軸座標プラス方向→直線移動軸座標マイナス方向補正<br>※ボールねじスプライン直線移動軸だけ有効 |
| 143  | （拡張用）                                       | 0              | ～                        | ―          |                                                                                              |
| 144  | 原点プリセット値自動更新基準座標待機時、エンドオフセット移動量 | 5,000          | -99,999,999～99,999,999  | ―          | 正の値＝エンドから離れる方向。軸別パラメーターNo.10「原点復帰方法」で「3」を指定時、エンドサーチ後に本パラメーター値（距離）分移動する。<br>※ボールねじスプライン直線移動軸にかぎり有効。関連情報：軸別パラメーターNo.10,12,141 |
| 145～148 | （拡張用）                                     | 0              | ―                        | ―          |                                                                                              |
| 149  | システム予約（変更禁止）                         | 0              | ―                        | ―          |                                                                                              |
| 150  | （拡張用）                                       | 0              | ―                        | ―          |                                                                                              |
| 151  | 減衰特性係数1（パラメーターセット1）             | 10             | 0～1,000                  | 1/1000Rate | 制振制御用（ノッチフィルターの減衰の幅を示す）                                               |
| 152  | 減衰特性係数2（パラメーターセット1）             | 1,000          | 0～1,000                  | 1/1000Rate | 制振制御用（ノッチフィルターの減衰の深さを示す）                                           |
| 153  | 固有振動数（パラメーターセット1）                 | 10,000         | 500～100,000              | 1/1000Hz   | 制振制御用                                                                                   |
| 154  | ノッチフィルターゲイン（パラメーターセット1）     | 9,950          | 1～20,000                 | 1/10000Rate| 制振制御用（ノッチフィルター出力の比率を示す）                                             |
| 155  | システム予約                                       | 0              | ―                        | ―          |                                                                                              |
| 156  | 減衰特性係数1（パラメーターセット2）             | 10             | 0～1,000                  | 1/1000Rate | 制振制御用（ノッチフィルターの減衰の幅を示す）                                               |
| 157  | 減衰特性係数2（パラメーターセット2）             | 1,000          | 0～1,000                  | 1/1000Rate | 制振制御用（ノッチフィルターの減衰の深さを示す）                                           |
| 158  | 固有振動数（パラメーターセット2）                 | 10,000         | 500～100,000              | 1/1000Hz   | 制振制御用                                                                                   |
| 159  | ノッチフィルターゲイン（パラメーターセット2）     | 9,950          | 1～20,000                 | 1/10000Rate| 制振制御用（ノッチフィルター出力の比率を示す）                                             |
| 160  | システム予約                                       | 0              | ―                        | ―          |                                                                                              |
| 161  | 減衰特性係数1（パラメーターセット3）             | 10             | 0～1,000                  | 1/1000Rate | 制振制御用（ノッチフィルターの減衰の幅を示す）                                               |
| 162  | 減衰特性係数2（パラメーターセット3）             | 1,000          | 0～1,000                  | 1/1000Rate | 制振制御用（ノッチフィルターの減衰の深さを示す）                                           |
| 163  | 固有振動数（パラメーターセット3）                 | 10,000         | 500～100,000              | 1/1000Hz   | 制振制御用                                                                                   |
| 164  | ノッチフィルターゲイン（パラメーターセット3）     | 9,950          | 1～20,000                 | 1/10000Rate| 制振制御用（ノッチフィルター出力の比率を示す）                                             |
| 165  | システム予約（変更禁止）                           | 0              | ―                        | ―          |                                                                                              |

</contents>
