ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page347

<overview>
本ページは「6.2 パラメーター一覧」の一部であり、「3. 軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）」に関する表形式のパラメーター一覧が掲載されています。  
構成は主に表部分で、各パラメーターの番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考が列挙されています。  
テキスト部分は表の備考欄に詳細な説明が記載されているのみで、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.16～30）

| No. | パラメーター名称                         | 初期値（スカラ軸） | 初期値（直動軸） | 入力範囲                         | 単位     | 備考                                                                                                   |
| :-- | :------------------------------------- | :----------------- | :--------------- | :------------------------------ | :------- | :----------------------------------------------------------------------------------------------------- |
| 16  | クリープセンサー入力極性                 | 0                  | 0                | 0～2                            | －       | 0：使用しない<br>1：a接点<br>2：b接点                                                                 |
| 17  | 原点復帰時初期原点センサー脱出速度       | 10                 | 10               | 1～100                         | mm/s     |                                                                                                        |
| 18  | 原点復帰時クリープ速度                   | 100                | 100              | 1～500                         | mm/s     | クリープセンサー使用時、クリープセンサー非検出区間エンドサーチ速度                                    |
| 19  | 原点復帰時エンドサーチ速度               | 33<br>20<br>10     | 20               | 1～100                         | mm/s     |                                                                                                        |
| 20  | 原点復帰時Z相サーチ速度                   | 3                  | 3                | 1～10                          | mm/s     | リード・エンコーダーパルス数により制限あるため要注意                                                |
| 21  | 原点復帰時オフセット移動量                 | 0                  | 1000             | -99,999,999～99,999,999        | 0.001mm  | Z相理想位置からのオフセット移動量（正値＝エンドから離れる方向）<br>ABSエンコーダー時注意事項あり<br>Z相間距離整数倍傍値は絶対に設定しないことなど詳細説明あり |
| 22  | 原点復帰時Z相位置エラーチェック許容値     | 1,000<br>1,000<br>500<br>1,000 | 500              | 0～99,999,999                  | 0.001mm<br>0.001deg | 【スカラ軸】サーチエンド（Z軸Zc）または基準姿勢（アイマーク）とのZ相実距離MIN許容値<br>【直動軸】ロータリーエンコーダーの場合はメカエンドとZ相実距離の最小許容値など詳細説明あり |
| 23  | エンコーダー1回転Z相個数                 | 1                  | 1                | 1～8                           | －       | ABSエンコーダー時は1だけ使用可能。リニアエンコーダー時無効。                                         |
| 24  | ABSリセット位置移動/原点復帰時押付け確認時間 | 700                | 700              | 1～5,000                      | ms       | 原点復帰の押付け確認に使用。                                                                           |
| 25  | 位置決め時押付け停止確認時間             | 500                | 500              | 1～5,000                      | ms       | PUSH命令の押付け確認に使用。                                                                           |
| 26  | システム予約（変更禁止）                   | 0h                  | 0h               | －                             | －       |                                                                                                        |
| 27  | モーター速度MAX                           | 5,000              | 5,000            | 1～99,999                     | －       | ロータリーエンコーダー時[rpm]、リニアエンコーダー時[mm/s]（変更禁止）                                |
| 28  | PTP速度MAX（スカラ軸）/軸別運転速度MAX（直動軸） | 480<br>480<br>1,393<br>1,200 | 1,000            | 1～9,999                      | mm/s     | スカラ軸時、スカラPTP速度MAX（スカラCP速度MAXは全軸パラメーターNo.21）                              |
| 29  | VLMX速度                                | 0                  | 1,000            | 1～9,999                      | mm/s     | VLMX動作時は軸別運転速度MAXとVLMX速度の小さい方を該当軸最高速度として処理。直動軸に限り有効。         |
| 30  | サーボON確認時間                         | 150                | 150              | 0～5,000                      | ms       | ブレーキ装着時：サーボON開始からブレーキ解除までの時間<br>ブレーキなし時：サーボON開始から動作可能状態までの時間 |

</contents>
