ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page348

<overview>
本ページは「パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）に関する詳細なパラメーター設定表で構成されています。ページ全体は表形式で、各パラメーターの番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考が列挙されています。テキストやグラフはなく、表のみで構成されています。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.31～51）

| No. | パラメーター名称                             | 初期値（スカラ軸） | 初期値（直動軸） | 入力範囲               | 単位          | 備考                                                                                         |
|:----|:--------------------------------------------|:------------------|:----------------|:-----------------------|:-------------|:--------------------------------------------------------------------------------------------|
| 31  | ABSリセット位置移動/原点復帰時オフセット移動速度 | 3                 | 3               | 1～500                 | mm/s         |                                                                                             |
| 32  | Z相エンド実距離                             | -1                | -1              | -1～99,999             | 0.001mm      | メカエンド（ストッパーもしくはリミットセンサー検出位置）からエンコーダーの0点までの距離絶対値。マイナス時自動取得。アクチュエーター組合せ時は自動取得→フラッシュライト推奨。 |
| 33  | Z相エンド理想距離                           | 0                 | 0               | 0～99,999              | 0.001mm      | メカエンド（ストッパーもしくはリミットセンサー検出位置）から原点位置までの距離絶対値。                                         |
| 34  | ブレーキ装着指定                             | アクチュエーター依存 | 0               | 0～1                   | －           | 0：非装着、1：装着                                                                           |
| 35  | ブレーキアンロック確認時間                   | 150               | 150             | 0～3,000               | ms           | ブレーキアンロック開始レスポンス取得～動作可能状態遷移間の時間                             |
| 36  | ブレーキロック確認時間                       | 300               | 300             | 0～1,000               | ms           | ブレーキロック開始レスポンス取得～サーボOFF開始間の時間                                   |
| 37  | エンコーダーリニア/ロータリー種類           | 0                 | 0               | 0～1                   | －           | 0：ロータリーエンコーダー、1：リニアエンコーダー                                         |
| 38  | エンコーダーABS/INC種類                      | 1                 | 0               | 0～1                   | －           | 0：インクリメンタル、1：アブソリュート                                                   |
| 39  | システム予約（変更禁止）                     | 1                 | 1               | －                      | －           | 0：非装着、1：装着                                                                         |
| 40  | システム予約（変更禁止）                     | 0                 | 0               | －                      | －           |                                                                                             |
| 41  | システム予約（変更禁止）                     | 25                | 25              | －                      | －           |                                                                                             |
| 42  | エンコーダー分解能                           | 131,072           | 131,072         | 0～99,999,999           | パルス/rev (0.001μm/パルス) | ロータリーエンコーダー時パルス（分周前）/rev、リニアエンコーダー時0.001μm/パルス（分周前） |
| 43  | エンコーダー分周率                           | 2                 | 3               | -7～7                   | －           | パルスが（1/2のn乗）倍される                                                               |
| 44  | 測長補正                                   | 0                 | 0               | -99,999,999～99,999,999 | 0.001mm/1M  | 直線移動軸時だけ有効。（エンコーダー基準Z点以外の座標は比例的に変化する。）               |
| 45  | ベルト破断検出センサー入力極性               | 0                 | 0               | 0～2                    | －           | 0：不使用、1：a接点、2：b接点                                                             |
| 46  | （拡張用）                                 | 0h                | 0h              | －                      | －           |                                                                                             |
| 47  | スクリューリード                             | 20,000            | 20,000          | 1～99,999,999           | 0.001mm      | 直線移動軸時だけ有効。リニアエンコーダー時無効。                                         |
| 48  | （拡張用）                                 | 0                 | 0               | －                      | －           |                                                                                             |
| 49  | （拡張用）                                 | 0h                | 0h              | －                      | －           |                                                                                             |
| 50  | ギア比分子                                   | 1 1 11 1          | 1               | 1～99,999,999           | －           | リニアエンコーダー時無効。                                                                 |
| 51  | ギア比分母                                   | 50 50 10 15       | 1               | 1～99,999,999           | －           | リニアエンコーダー時無効。                                                                 |

</contents>
