ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page351

<overview>
本ページは「パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）に関する詳細なパラメーター設定表で構成されています。ページ全体は表形式で、パラメーター番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考の項目に分かれています。テキストは主に備考欄にあり、パラメーターの意味や注意点、関連情報が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（No.57～83）

| No. | パラメーター名称                     | 初期値（スカラ軸） | 初期値（直動軸） | 入力範囲       | 単位       | 備考                                                                                                   |
|-----|------------------------------------|--------------------|------------------|----------------|------------|--------------------------------------------------------------------------------------------------------|
| 57  | 位置決め時押付け強制完了偏差率     | 5,000              | 5,000            | 1～99,999      | －         | 押付け速度定常偏差＋押付け速度パルス速度×強制完了偏差率と偏差比較                                      |
| 58  | 位置決め幅                         | 100                | 100              | 1～9,999       | 0.001mm/0.001deg | ※関連情報：軸別パラメーターNo.52                                                                         |
| 59  | 偏差エラー許容率（MAX速度/パルス比）| 85                 | 27               | 1～99          | －         | 軸別運転速度MAX定常偏差＋軸別運転速度MAXパルス速度×偏差エラー許容率と偏差比較                            |
| 60  | PPG（位置ゲイン）                  | 60                 | 30               | 1～9,999       | /s         | ⚠注意：スカラ軸は変更しないこと                                                                         |
| 61  | PFAG                              | 0                  | 0                | 0～999         | －         | ⚠注意：スカラ軸は変更しないこと                                                                         |
| 62  | シンクロFBゲイン                   | 0                  | 77               | 0～1,000       | /s         |                                                                                                        |
| 63  | 停止特殊出力レンジ                 | 1                  | 1                | 0～9,999       | パルス     | 0時無効                                                                                               |
| 64  | 停止特殊出力値                     | 1                  | 1                | 0～999         | DRVVR      |                                                                                                        |
| 65  | シンクロ相手軸No.                  | 0                  | 0                | 0～8           | －         | 相互入力必要（ペア中軸No.小さいほうが主軸）分解能関連同一特性軸だけ指定可。従軸へのコマンド発行不可。<br>シンクロ主・従軸の「原点復帰用エンド位置」を物理的に合わせてアクチュエーター設置必要。<br>「0」を設定している場合は無効。 |
| 66  | 回転移動軸モード選択               | 0                  | 0                | 0～5           | －         | 0：ノーマル 1：インデックスモード                                                                        |
| 67  | 回転移動軸近回り制御選択           | 0                  | 0                | 0～5           | －         | 0：非選択 1：選択（インデックスモードかつINCエンコーダーの場合にかぎり有効）                             |
| 68  | 直線移動軸モード選択               | 0                  | 0                | 0～5           | －         | 0：ノーマル 1：無限ストロークモード<br>注意：位置決めバウンダリーあり。INCエンコーダーの場合にかぎり指定可。 |
| 69  | シンクロ従軸停止時トルク制限       | 0                  | 0                | 0～70          | %          | 「0」を設定している場合、制限なし。シンクロ従軸時にかぎり有効。<br>※関連情報：軸別パラメーターNo.52         |
| 70  | システム予約（変更禁止）           | 0h                 | 0h               | －             | －         |                                                                                                        |
| 71  | システム予約（変更禁止）           | 0h                 | 0h               | －             | －         |                                                                                                        |
| 72  | システム予約（変更禁止）           | 0                  | 0                | －             | －         |                                                                                                        |
| 73  | システム予約（変更禁止）           | 0                  | 0                | －             | －         |                                                                                                        |
| 74  | システム予約（変更禁止）           | 0h                 | 0h               | －             | －         |                                                                                                        |
| 75  | システム予約（変更禁止）           | 0h                 | 0h               | －             | －         |                                                                                                        |
| 76  | システム予約（変更禁止）           | 0h                 | 0h               | －             | －         |                                                                                                        |
| 77  | 直交軸シンクロSパルス              | 3                  | 3                | 0～99,999      | パルス     | ※関連情報：軸別パラメーターNo.52                                                                         |
| 78  | テイクオフ指令量MAX                | 0                  | 0                | -3,000～3,000  | 0.001mm    | ブレーキアンロック前浮上指令量MAX（符号付き入力）<br>（重量物サーボON瞬時降下抑制）<br>⚠要注意：上昇座標方向と同一符号方向で入力。絶対値で0.100～0.500mm程度目安。<br>※軸別パラメーターNo.30「サーボON確認時間」も長く（1000～1500ms程度）して、上昇方向トルク追従時間を確保する必要あり。<br>注意：ブレーキ装着指定時にかぎり有効。 |
| 79  | テイクオフ確認実距離              | 5                  | 5                | 0～3,000       | 0.001mm    | 絶対値入力                                                                                             |
| 80  | 強制フィードレンジMAX              | 0                  | 0                | 0～9,999       | 0.001mm    | 収束時間短縮用。（0時レンジ無効）(1,000mm程度目安)<br>注意：直動軸にかぎり有効。                           |
| 81  | 強制フィードレンジMIN              | 200                | 200              | 0～9,999       | 0.001mm    | 注意：直動軸にかぎり有効。                                                                               |
| 82  | 強制フィードレンジMID              | 600                | 600              | 0～9,999       | 0.001mm    | 注意：直動軸にかぎり有効。                                                                               |
| 83  | ABSシンクロ従軸座標初期化キャンセル | 0                  | 0                | 0～5           | －         | シンクロ従軸時にかぎり有効。注意：直動軸にかぎり有効。                                                   |

</contents>
