ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page353

<overview>
本ページは「軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）」に関するパラメーター一覧の一部を示しています。構成は主に表形式で、パラメーター番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考の項目で詳細が記載されています。テキストはパラメーターの説明や設定範囲、注意事項などが中心です。図やグラフは含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（抜粋）

| No.  | パラメーター名称                             | 初期値(スカラ軸) | 初期値(直動軸) | 入力範囲           | 単位    | 備考                                                                                                  |
| :--- | :------------------------------------------ | :--------------- | :------------- | :----------------- | :------ | :--------------------------------------------------------------------------------------------------- |
| 103  | ブレーキ出力制御方法選択                     | 0                | 0              | 0～1               | －      | 0: システムブレーキ制御（軸別パラメーターNo.34「ブレーキ装着指定」=1の場合）<br>1: ユーザー制御（同0の場合） |
| 104  | マルチスライダー過接近検出対象軸指定         | 0h               | 0h             | 0h～FFFFFFFFh      | －      | ビット0-3: 過接近検出対象相手軸No.（自軸座標プラス移動側）<br>ビット4-7: 過接近検出対象相手軸No.（マイナス移動側）<br>※相手軸と相互入力必要、シンクロ仕様時は主軸指定必須など詳細あり |
| 105  | マルチスライダー有効ストローク               | 0                | 0              | 0～99,999,999      | 0.001mm | マルチスライダー過接近検出対象両軸の動作範囲内のスライダー間距離を設定。主軸側パラメーターにかぎり有効。 |
| 106  | マルチスライダー過接近時緊急減速度マージン   | 5                | 5              | 0～999             | 0.01G   | -                                                                                                    |
| 107  | マルチスライダー設定ビットパターン1           | 12h              | 12h            | 0h～FFFFFFFFh      | －      | ビット0-3: 実位置過接近検出マージン（mm）<br>ビット4-7: 指令位置過接近検出マージン（mm）<br>主軸側パラメーターにかぎり有効 |
| 108  | シンクロ従軸位置決め時制御切換幅               | 5,000            | 5,000          | 1～99,999          | 0.001mm | シンクロ従軸時にかぎり有効。関連情報：軸別パラメーターNo.52                                              |
| 109  | ボールねじスプライン補正相手軸指定             | 0                | 0              | 0～8               | －      | 相互入力必要。0=無効、1～8=相手軸No。関連情報：軸別パラメーターNo.1                                    |
| 110  | システム予約（変更禁止）                       | 0h               | 0h             | －                 | －      | -                                                                                                    |
| 111  | システム予約（変更禁止）                       | 0                | 0              | －                 | －      | -                                                                                                    |
| 112  | システム予約（変更禁止）                       | 1                | 1              | －                 | －      | -                                                                                                    |
| 113  | OLWL ドライバー過負荷警告ロードレベル比       | 100              | 100            | 50～100            | %       | ドライバー過負荷警告レベル設定。コントローラーの負荷率計算に基づき、モーター焼損防止のための安全サイド設定。起動初期温度を高めに推定し、一定期間経過後に警告検出を行う仕様。 |

</contents>
