ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page355

<overview>
このページは「パラメーター一覧」の一部であり、軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）に関する詳細な表形式のデータが中心です。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考が記載されています。テキスト部分は主に備考欄にあり、パラメーターの使用条件や制限事項が説明されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（XSEL-RAX/SAX、RAXD/SAXD）

| No. | パラメーター名称 | 初期値（スカラ軸） | 初期値（直動軸） | 入力範囲 | 単位 | 備考 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 125 | システム予約 | 0,1,0,1 | 0 | － | － |  |
| 126 | システム予約 | 10,000,10,000,1,000,10,000 | 0 | － | － |  |
| 127～128 | システム予約 | 0 | 0 | － | － |  |
| 129～130 | システム予約 | 0h | 0h | － | － |  |
| 131～133 | システム予約（変更禁止） | 0h | 0h | － | － |  |
| 134 | PTP加速度MAX（スカラ軸）/軸別運転加速度MAX（直動軸） | 2,700,160,11,000 | 0 | 0～99,999,999 | 0.01G | 「0」を設定している場合は無効。無効の場合、全軸パラメーターNo.22「加速度MAX」により制限される。 |
| 135 | PTP減速度MAX（スカラ軸）/軸別運転減速度MAX（直動軸） | 2,700,5,400,160,11,000 | 0 | 0～99,999,999 | 0.01G | 「0」を設定している場合は無効。無効の場合、全軸パラメーターNo.23「減速度MAX」により制限される。 |
| 136 | PTP緊急減速度MAX（スカラ軸）/軸別緊急減速度MAX（直動軸） | 2,700,5,400,160,11,000 | 0 | 0～99,999,999 | 0.01G | 「0」を設定している場合は無効。無効の場合、全軸パラメーターNo.24「緊急減速度MIN」により制限される。 |
| 137 | システム予約（変更禁止） | 0h | 0h | － | － |  |
| 138 | アーム長 | 250,000,0,0 | 0 | 1～9,999,999 | 0.001mm | ※アーム1軸（A1c）、アーム2軸（A2c）だけ使用 |
| 139 | スカラ軸背面進入禁止エリアMAX（Xb） | 100,000,0,0 | 0 | -99,999,999～99,999,999 | 0.001mm | 簡易チェック用。※アーム1軸（Xb）だけ使用 |
| 140 | スカラ軸背面進入禁止エリアMIN（Xb） | -100,000,0,0 | 0 | -99,999,999～99,999,999 | 0.001mm | 簡易チェック用。※アーム1軸（Xb）だけ使用 |
| 141 | 原点プリセット値自動更新基準座標 | 0 | 0 | -99,999,999～99,999,999 | 0.001mm/0.001deg | ※ボールねじスプライン軸にかぎり有効。関連情報：軸別パラメーターNo.10,12,144 |
| 142 | ボールねじスプライン（直線移動軸＋回転移動軸）回転移動軸→直線移動軸補正座標方向選択 | 0 | 0 | 0～1 | － | 0：回転移動軸座標プラス方向→直線移動軸座標プラス方向補正<br>1：回転移動軸座標プラス方向→直線移動軸座標マイナス方向補正<br>※ボールねじスプライン直線移動軸だけ有効 |
| 143 | スカラ軸CP動作制限帯実位置進入限界角度（A2c） | 0 | 0 | 0～9,999 | 0.001deg | 絶対値入力（第2軸（A2c）だけ使用） |
| 144 | 原点プリセット値自動更新基準座標待機時、エンドオフセット移動量 | 5,000 | 5,000 | -99,999,999～99,999,999 | 0.001mm | 正の値＝エンドから離れる方向<br>軸別パラメーターNo.10「原点復帰方法」において「3」を指定している場合、エンドサーチ後に本パラメーター値（距離）分移動する。<br>※ボールねじスプライン直線移動軸にかぎり有効<br>※関連情報：軸別パラメーターNo.10,12,141 |

</contents>
