ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page358

<overview>
本ページはパラメーター一覧の一部であり、主に軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）に関する詳細な表形式のデータで構成されています。テキスト部分はパラメーターの名称、初期値、入力範囲、単位、備考などの説明が中心です。表部分はパラメーターごとの詳細な設定値や注意事項をまとめたもので、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（XSEL-RAX/SAX、RAXD/SAXD）

| No.  | パラメーター名称                     | 初期値 (スカラ軸) | 初期値 (直動軸) | 入力範囲               | 単位    | 備考                                                                                         |
| :--- | :--------------------------------- | :---------------- | :-------------- | :--------------------- | :------- | :------------------------------------------------------------------------------------------- |
| 216  | PFAG2                             | 0                 | 0               | 0～999                 | －       | ⚠注意：スカラ軸は、変更しないでください。                                                   |
| 217  | PFSG2                             | 50                | 0               | 0～100                 | －       |                                                                                              |
| 218  | ABSエンコーダーカウント範囲オフセット加算値 | 90,000 / 90,000 / 10,000 / 10,000 | 10,000          | 1～99,999,999          | 0.001mm  | ※インデックスモード時は無効                                                                   |
| 219  | （拡張用）                        | 0h                | 0h              | －                     | －       |                                                                                              |
| 220  | システム予約                      | 0h                | 0h              | 0                      | －       |                                                                                              |
| 221  | 通算移動回数閾値                 | 0                 | －               | 0～99,999,999          | －       | メンテナンス情報アラート機能用。設定値「0」の場合、アラート機能は無効。<br>通算移動回数が設定値を超えるとエラーNo.231「移動回数閾値オーバー」が発生。 |
| 222  | 通算走行距離閾値                 | 0                 | －               | 0～99,999,999          | －       | メンテナンス情報アラート機能用。設定値「0」の場合、アラート機能は無効。<br>通算走行距離が設定値を超えるとエラーNo.232「走行距離閾値オーバー」が発生。 |
| 223  | エンコーダー個体識別番号         | 0                 | －               | 0h～FFFFFFFFh          | －       | アブソリリセット時に自動取得                                                                |
| 224～229 | （拡張用）                    | 0h                | 0h              | －                     | －       |                                                                                              |
| 230  | システム予約                      | 0                 | 0               | 0～1                   | －       |                                                                                              |
| 231～239 | （拡張用）                    | 0h                | 0h              | －                     | －       |                                                                                              |
| 240  | デバイス拡張データ取得設定       | 10h               | 0h              | 0h～FFFFFFFFh          | －       |                                                                                              |
| 241  | エンコーダーオーバーヒート警告温度レベル比 | 100               | 100             | 100                    | %        | 0℃を0%、エンコーダーオーバーヒートエラー発生温度を100%とした場合の警告検出比率設定。<br>「100」は無効。 |
| 242  | エンコーダーオーバーヒート警告出力No. | 0                 | 0               | 0～6,999               | －       | 物理的出力ポートまたは拡張出力ポート。0時出力無効、重複指定無効。<br>（メインアプリ部V1.10以降）<br>※B接点 |
| 243～250 | （拡張用）                    | 0h                | 0h              | －                     | －       |                                                                                              |
| 251  | IDCG                             | －                 | －               | －                      | －       | メーカー調整用（メインアプリ部V1.10以降）                                                  |
| 252  | FRCG                             | －                 | －               | －                      | －       | メーカー調整用（メインアプリ部V1.10以降）                                                  |
| 253  | CTQF                             | －                 | －               | －                      | －       | メーカー調整用（メインアプリ部V1.10以降）                                                  |
| 254  | TTEF                             | －                 | －               | －                      | %        | メーカー調整用（メインアプリ部V1.10以降）                                                  |
| 255  | システム予約                    | 98                | 98              | 1～200                 | －       |                                                                                              |
| 256  | CMPPPG                           | アクチュエーター依存 | アクチュエーター依存 | 1～9,999               | －       | メーカー調整用（メインアプリ部V1.13以降）                                                  |
| 257  | （拡張用）                      | 0h                | 0h              | －                      | －       |                                                                                              |
| 258  | コンプライアンス探索周波数       | 40                | 40              | 1～1,000               | 0.1Hz    | スカラロボットのJ1軸とJ2軸に限り有効。（メインアプリ部V1.13以降）                          |

</contents>
