ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page359

<overview>
このページは「6.2 パラメーター一覧」の一部であり、「3. 軸別パラメーター（XSEL-RAX/SAX、RAXD/SAXD）」に関するパラメーターの詳細を表形式で示しています。ページ全体は表部分で構成されており、各パラメーターの番号、名称、初期値（スカラ軸・直動軸）、入力範囲、単位、備考が記載されています。テキストやグラフは含まれていません。
</overview>

<contents>
### 表
#### 軸別パラメーター一覧（抜粋）

| No.       | パラメーター名称           | 初期値（スカラ軸） | 初期値（直動軸） | 入力範囲    | 単位           | 備考                                                                                   |
| :-------- | :------------------------- | :----------------- | :--------------- | :---------- | :------------- | :------------------------------------------------------------------------------------- |
| 259       | コンプライアンス探索振幅   | 1,000              | 1,000            | 1～9,999    | 0.001mm 0.001deg | 各軸系座標値で設定。スカラロボットのJ1軸とJ2軸にかぎり有効。（メインアプリ部V1.13以降） |
| 260～261  | （拡張用）                 | 0h                 | 0h               | －          | －              |                                                                                         |
| 262       | システム予約               | 50                 | 50                | 0～100      | －              |                                                                                         |
| 263～264  | （拡張用）                 | 0h                 | 0h               | －          | －              |                                                                                         |
| 265       | CACLTQLM2                 | 90 90 180 100       | 0                 | 0～400      | %               | メーカー調整用                                                                         |
| 266       | CACLTQLM3                 | 225 240 240 100     | 0                 | 0～400      | %               | メーカー調整用                                                                         |
| 267～400  | （拡張用）                 | 0h                 | 0h               | －          | －              |                                                                                         |

</contents>
