ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page364

<overview>
本ページは「6.2.5 エンコーダーパラメーター」に関する内容で構成されています。主に表形式でエンコーダーパラメーターの一覧を示しており、各パラメーターの番号、名称、初期値、入力範囲、単位、備考が記載されています。テキスト部分は見出しと表の説明に限定されており、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 6.2.5 エンコーダーパラメーター
エンコーダーに関する各種パラメーターの一覧を示しています。

### 表
#### エンコーダーパラメーター一覧

| No. | パラメーター名称                             | 初期値（参考） | 入力範囲                     | 単位 | 備考       |
|-----|--------------------------------------------|----------------|-----------------------------|------|------------|
| 1   | 型式（上位）（製造情報）                   | スペース       | －                          | －   |            |
| 2   | 型式（中位）（製造情報）                   | スペース       | －                          | －   |            |
| 3   | 型式（下位）（製造情報）                   | スペース       | －                          | －   |            |
| 4   | 製造データ（製造情報）                     | スペース       | －                          | －   |            |
| 5   | 製造データ（製造情報）                     | スペース       | －                          | －   |            |
| 6   | 製造データ（製造情報）                     | スペース       | －                          | －   |            |
| 7   | 製造データ（製造情報）                     | スペース       | －                          | －   |            |
| 8   | ボード種類（機能情報）                     | 80             | 0～255                      | －   | メーカー調整用 |
| 9   | 構成容量（モーター定格出力）（X-E互換）（機能情報） | 003Ch          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 10  | 構成電圧（モーター電圧）（X-E互換）（機能情報） | 00C8h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 11  | モーター・エンコーダー構成情報（X-E互換）（機能情報） | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 12  | エンコーダー分解能（上位ワード）（X-E互換）（機能情報） | 0002h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 13  | エンコーダー分解能（下位ワード）（X-E互換）（機能情報） | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 14  | モーター・エンコーダー特性ワード（X-E互換）（機能情報） | 0004h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 15  | モーター・エンコーダー制御ワード1（機能情報） | 3,834          | -32,768～32,767             | －   | メーカー調整用 |
| 16  | モーター・エンコーダー制御ワード2（機能情報） | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 17  | モーター・エンコーダー制御ワード3（機能情報） | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 18  | モーター・エンコーダー制御ワード4（機能情報） | 0001h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 19  | （機能情報）                               | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 20  | （機能情報）                               | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 21  | （機能情報）                               | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 22  | （機能情報）                               | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 23  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 24  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 25  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 26  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 27  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 28  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 29  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |
| 30  | カードパラメーター（ボード種類ごと）       | 0000h          | 0000h～FFFFFFFFh            | －   | メーカー調整用 |

備考欄の「メーカー調整用」は、各パラメーターがメーカーによる調整目的で使用されることを示しています。
</contents>
