ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page365

<overview>
本ページは「6.2.6 I/O系デバイスパラメーター」に関する内容で構成されています。主に表形式でパラメーターの一覧が示されており、テキスト部分は表の見出しや注釈的な説明が含まれています。グラフや図はなく、表がページ全体の主要な情報源となっています。
</overview>

<contents>
### テキスト
#### 6.2.6 I/O系デバイスパラメーター
I/O系デバイスに関するパラメーターの一覧を示しています。

### 表
#### I/O系デバイスパラメーター一覧

| No. | パラメーター名称                     | 初期値（参考） | 入力範囲               | 単位 | 備考         |
| :-- | :--------------------------------- | :------------- | :--------------------- | :--- | :----------- |
| 1   | 型式（上位）（製造情報）            | スペース       | －                     | －   | メーカー調整用 |
| 2   | 型式（中位）（製造情報）            | スペース       | －                     | －   | メーカー調整用 |
| 3   | 型式（下位）（製造情報）            | スペース       | －                     | －   | メーカー調整用 |
| 4   | 製造データ（製造情報）              | スペース       | －                     | －   | メーカー調整用 |
| 5   | 製造データ（製造情報）              | スペース       | －                     | －   | メーカー調整用 |
| 6   | 製造データ（製造情報）              | スペース       | －                     | －   | メーカー調整用 |
| 7   | 製造データ（製造情報）              | スペース       | －                     | －   | メーカー調整用 |
| 8   | ボード種類（機能情報）              | 0              | 0～255                 | －   | メーカー調整用 |
| 9   | 機能情報01（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 10  | 機能情報02（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 11  | 機能情報03（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 12  | 機能情報04（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 13  | 機能情報05（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 14  | 機能情報06（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 15  | 機能情報07（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 16  | 機能情報08（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 17  | 機能情報09（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 18  | 機能情報10（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 19  | 機能情報11（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 20  | 機能情報12（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 21  | 機能情報13（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 22  | 機能情報14（ボード種類ごと）        | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 23  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 24  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 25  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 26  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 27  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 28  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 29  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |
| 30  | デバイスパラメーター（ボード種類ごと） | 0000h          | 0000h～FFFFFFFFh       | －   | メーカー調整用 |

</contents>
