ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page380

<overview>
このページは「6.5 パラメーター設定（応用編）」に関する内容で構成されています。  
主にテキスト部分と表部分で構成されており、テキストはパラメーター設定の概要説明と注意事項、表は各種動作条件に対応したパラメーター設定の希望動作一覧を示しています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 6.5 パラメーター設定（応用編）
パラメーターの値を変更することで、機能を付加したり、入出力ポートに専用機能を設定したりすることができます。  
以下に各動作条件での設定例を示します。  
希望動作を実施する場合は、掲載項の表のパラメーター設定値を変更してください。  
パラメーターを変更する場合は、必ずパラメーター一覧表の該当箇所をお読みください。

### 表
#### 希望動作一覧

| No | 希望動作                                                                 | 掲載項   |
|----|------------------------------------------------------------------------|----------|
| 1  | I/Oを使用せずに仮運転したい                                            | 6.5.1    |
| 2  | XSELコントローラーから自動運転中を判断する出力をしたい                | 6.5.2    |
| 3  | 非常停止時でも、現在の出力状態を保持したい                            | 6.5.3    |
| 4  | 非常用プログラムを起動したい                                          | 6.5.4    |
| 5  | 非常停止が解除されたら、自動で復旧（再起動）したい                    | 6.5.5    |
| 6  | 非常停止が解除されたら、自動で復旧（エラーリセット）したい            | 6.5.6    |
| 7  | 非常停止の直前の状態から復旧したい                                    | 6.5.7    |
| 8  | 外部からXSELコントローラーを再起動したい                              | 6.5.8    |
| 9  | 外部からサーボONしたい                                                | 6.5.9    |
| 10 | 外部から全単軸アクチュエーターを原点復帰したい                        | 6.5.10   |
| 11 | 外部からXSELコントローラーのプログラムを実行したい                    | 6.5.11   |
| 12 | 外部からプログラムNo.の指示をバイナリーで行ってプログラムを実行したい | 6.5.12   |
| 13 | 外部からXSELコントローラーの一時停止をしたい                          | 6.5.13   |
| 14 | 外部からエラーリセットをしたい                                        | 6.5.14   |
| 15 | 外部からアクチュエーターのブレーキを解除したい                        | 6.5.15   |
| 16 | 外部からAUTOモードとMANUモードの切替えをしたい                        | 6.5.16   |
| 17 | 入力ポートの割付けを変更したい                                        | 6.5.17   |
| 18 | 全単軸アクチュエーターが原点位置であることを出力したい                | 6.5.18   |
| 19 | 全単軸アクチュエーターが原点復帰完了であることを出力したい            | 6.5.19   |
| 20 | 軸が移動中であることを表す信号を出力したい                            | 6.5.20   |
| 21 | 単軸アクチュエーターが設定した領域（ゾーン）に進入したことを出力したい | 6.5.21   |
| 22 | エラーのレベルを出力したい                                            | 6.5.22   |
| 23 | 非常停止中であることを出力したい                                      | 6.5.23   |
| 24 | 現在の動作モードを知りたい                                            | 6.5.24   |
| 25 | アブソエンコーダーバックアップバッテリー電圧低下アラームを出力したい | 6.5.25   |
| 26 | 出力ポートの割付けを変更したい                                        | 6.5.26   |
| 27 | 汎用RS-232Cポートコネクターを使用したい                              | 6.5.27   |
| 28 | ティーチングツールを接続しなくても現在の電流値を知りたい              | 6.5.28   |
| 29 | ティーチングツールを接続しなくてもグローバル整数変数をモニターしたい  | 6.5.29   |
</contents>
