ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page384

<overview>
本ページは「6.5 パラメーター設定（応用編）」の一部であり、主に外部からの信号入力によるサーボON、単軸アクチュエーターの原点復帰、XSELコントローラーのプログラム実行に関する設定方法を説明している。構成はテキスト説明と複数の表で成り立っており、各表はパラメーター番号、設定値、内容の3列で詳細な設定内容を示している。グラフや図はなく、テキストと表のみで構成されている。
</overview>

<contents>
### テキスト
#### 6.5.9 外部からサーボONしたい
入力ポート002にONエッジ（OFF→ON）を入力するとサーボがONし、OFFエッジ（ON→OFF）を入力するとサーボがOFFする。

#### 6.5.10 外部から全単軸アクチュエーターを原点復帰したい
入力ポート015にONエッジ（OFF→ON）を入力すると単軸アクチュエーターが原点復帰する。
※スカラロボットの原点復帰は行えない。

#### 6.5.11 外部からXSELコントローラーのプログラムを実行したい
入力ポート003にONエッジ（OFF→ON）を入力するとプログラムを実行し、OFFエッジ（ON→OFF）を入力するとプログラムを停止する。
確実な動作を行うため、100ms以上ONの状態を保持する必要がある。

### 表
#### 6.5.9 外部からサーボONしたい 設定パラメーター

| パラメーターNo.           | 設定値 | 内容                                   |
| :------------------------ | :----- | :------------------------------------ |
| I/Oパラメーター No.32     | 1      | 入力ポート002をサーボON信号入力ポートに設定 |

#### 6.5.10 外部から全単軸アクチュエーターを原点復帰したい 設定パラメーター

| パラメーターNo.                         | 設定値 | 内容                                                                                   |
| :------------------------------------ | :----- | :------------------------------------------------------------------------------------ |
| XSEL-RA/SA、RAX/SAXのI/Oパラメーター No.45 | 1      | 入力ポート015を原点復帰信号入力ポートに設定、全軸が原点復帰（XSEL-RA/SA）               |
|                                       | 2      | 入力ポート015を原点復帰信号入力ポートに設定、全インクリメント軸が原点復帰（XSEL-RA/SA） |
|                                       | 1      | 入力ポート015を原点復帰信号入力ポートに設定、単軸のアブソリュート軸が原点復帰（XSEL-RAX/SAX） |
|                                       | 2      | 入力ポート015を原点復帰信号入力ポートに設定、全インクリメント軸が原点復帰（XSEL-RAX/SAX） |

#### 6.5.11 外部からXSELコントローラーのプログラムを実行したい 設定パラメーター

| パラメーターNo.           | 設定値           | 内容                                   |
| :------------------------ | :--------------- | :------------------------------------ |
| その他パラメーター No.1   | 実行プログラムNo. | （内容記載なし）                       |
| I/Oパラメーター No.33     | 2                | 入力ポート003をサーボON信号入力ポートに設定 |

</contents>
