ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page410

<overview>
本ページは「7.2 エラーレベル管理」に関する内容で構成されています。ページ全体は主に表形式で構成されており、エラーレベルごとの詳細情報を体系的に示しています。テキスト部分は表の注釈や備考欄にあり、エラーの発生源や解除条件、リセット条件などの説明が記載されています。グラフや図はなく、表が中心の構成です。
</overview>

<contents>
### テキスト
#### 7.2 エラーレベル管理
エラーレベルごとに、システムエラー割付け元、エラーNo.（HEX）、表示（7SEG、DISPLAYなど）、エラーリスト（アプリ部）、エラーLED出力（MAINのみ）、プログラム運転（アプリ部にかぎる）、エラーリセット（アプリ部のみ）、備考がまとめられている。

- コールドスタートレベルとシステムダウンレベルの2種類のエラーレベルがある。
- プログラム運転の欄では、エラー発生時のプログラム解除範囲が記載されている。
- 備考欄には、コントローラーの電源再投入の必要性やCPU・OSの動作状況についての注意が記載されている。

### 表
#### エラーレベル管理表

| エラーレベル       | システムエラー割付け元       | エラーNo. (HEX) | 表示 (7SEG、DISPLAYなど) | エラーリスト (アプリ部) | エラーLED出力 (MAINのみ) | プログラム運転 (アプリ部にかぎる)                                                                                                                        | エラーリセット (アプリ部のみ) | 備考                                                                                           |
|--------------------|------------------------------|-----------------|--------------------------|-------------------------|--------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|------------------------------------------------------------------------------------------------|
| コールドスタートレベル | MAIN アプリ部                | 500～5CF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN コア部                  | ―               |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC                           |                 |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC (アップデートツール)       |                 |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | TP                           |                 |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN アプリ部                | 600～6CF        | ○                        | ○                       | ○ (コア部のみ)           | 発生元プログラム解除 ※ただし、駆動源遮断必要エラー、サーボOFF要求エラー、全軸サーボOFF必要エラーなど（初期化エラー、電源エラーなど）時、“動作打切時I/O処理プログラム”以外の全プログラム解除 | 不可                          | コントローラー電源再投入必要（MAINのみ）。(CPU・OS的には正常実行)                                |
|                    | MAIN コア部                  | ―               |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC                           | 6D0～6DF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC (アップデートツール)       | 6E0～6EF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | TP                           | 6F0～6FF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN アプリ部                | D00～D8F        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN コア部                  | D90～DAF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC                           | DB0～DCF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC (アップデートツール)       | DD0～DDF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | TP                           | DE0～DFF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN アプリ部                | E00～E8F        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN コア部                  | E90～EBF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC                           | EC0～EDF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | TP                           | EE0～EFF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
| システムダウンレベル | MAIN アプリ部                |                 | ○                        | ○                       | ○                        | 全解除                                                                                                                                                  | 不可                          | コントローラー電源再投入必要（MAINのみ）。(CPU・OS的には実行不可)                               |
|                    | MAIN コア部                  | ―               |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC                           |                 |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC (アップデートツール)       |                 |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | TP                           |                 |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN アプリ部                | FF0～FBF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | MAIN コア部                  | FC0～FCF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | PC                           | FD0～FDF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |
|                    | TP                           | FE0～FEF        |                          |                         |                          |                                                                                                                                                         |                               |                                                                                                |

### 注釈
- PC：パソコン専用ティーチングソフト
- TP：ティーチングボックス
</contents>
