ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page411

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、主にテキストと表で構成されています。テキスト部分ではエラー番号の表示方法について簡単に説明があり、その後にエラー番号、エラー名称、内容・原因および対処方法をまとめた表が続きます。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（メッセージレベルエラー）

| エラーNo. | エラー名称                          | 内容・原因 / 対処方法                                                                                     |
| --------- | --------------------------------- | -------------------------------------------------------------------------------------------------------- |
| 200       | エンコーダーパラメーターデータバージョン不整合警告 | 【内容・原因】エンコーダーパラメーターデータバージョンが、本コントローラーに対応していないバージョンです。<br>【対処方法】エンコーダーパラメーターを更新してください。 |
| 201       | EMG 論理異常                      | 【内容・原因】コントローラー内部ピン折損などの可能性があります。                                         |
| 202       | ENB 論理異常                      | 【内容・原因】コントローラー内部ピン折損などの可能性があります。                                         |
| 203       | 駆動源遮断リレーDET（MELT）エラー | 【内容・原因】駆動源遮断リレー溶着の可能性があります。                                                   |
| 204       | 非AUTOモード時チャンネルオープンエラー | 【内容・原因】非AUTOモードでチャンネルをオープンしました。MANUモードでのユーザー開放SIOチャンネルのオープンはパソコン対応ソフト・ティーチングボックス接続を強制切断して行うので注意が必要です。<br>【対処方法】AUTOモードでユーザー開放SIOチャンネルをオープンしてください。 |
| 206       | アップデートシステムモードエラー（IAIプロトコル） | 【内容・原因】アップデートモード以外の時にアップデートコマンドを受信しました。                         |
| 207       | アップデートファイル名エラー（IAIプロトコル） | 【内容・原因】アップデートモード時に、選択されたアップデートプログラムファイルのファイル名が異常です。<br>【対処方法】正しいファイルを選択して、アップデートの手順を最初からやり直してください。 |
| 208       | 時刻データエラー                  | 【内容・原因】通信などで指定する時刻データが異常です。<br>【対処方法】通信伝文などを確認してください。     |
| 209       | 未サポート制御定数テーブルIDエラー | 【内容・原因】未サポートの制御定数テーブルIDです。<br>【対処方法】データを確認してください。               |
| 20A       | 制御定数テーブル変更・照会エラー  | 【内容・原因】制御定数テーブル変更・照会コマンド伝文内に異常があります。<br>【対処方法】送信伝文を確認してください。 |
</contents>
