ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page412

<overview>
このページは「7.3 エラー表」に関する内容で構成されています。  
主に表形式でエラー番号、エラー名称、内容・原因および対処方法が一覧で示されています。  
テキストはエラーの説明と対処方法の詳細で構成されており、図やグラフは含まれていません。  
</overview>

<contents>
### テキスト
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

#### エラー一覧

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                          |
| :------- | :------------------------------------------ | :------------------------------------------------------------------------------------------------------------ |
| 20B      | 制御定数テーブルライトデータタイプ指定エラー | 【内容・原因】制御定数テーブルライトデータタイプの指定に異常があります。<br>【対処方法】送信伝文を確認してください。 |
| 20C      | 制御定数テーブル管理情報不整合エラー         | 【内容・原因】制御定数テーブルの管理情報が不正です。<br>【対処方法】コントローラーがサポートする制御定数テーブルであることを確認してください。 |
| 20D      | フラッシュビジー解除待ちタイムアウト         | 【内容・原因】フラッシュROMのイレーズまたはライト異常です。                                               |
| 20E      | モトローラSバイトカウントエラー               | 【内容・原因】アップデートプログラムファイルが異常です。<br>【対処方法】アップデートプログラムファイルを確認してください。 |
| 215      | 外付端子台 過電流 or 供給電源異常             | 【内容・原因】外付け端子台の過電流、または、供給電源異常です。                                               |
| 216      | DO出力電流エラー                             | 【内容・原因】DO出力電流が異常です。                                                                         |
| 217      | 24V I/O電源異常                              | 【内容・原因】24V I/O電源が異常です。                                                                        |
| 218      | ドライバー過負荷警告                         | 【内容・原因】モーターへの入力電力が過負荷警告ロードレベルを超えました。                                     |
| 227      | プログラム実行中拒絶エラー                   | 【内容・原因】プログラム実行中のオールエラーリセット・1回転データ/多回転データリセット実行が認められていないエンコーダーに対して、オールエラーリセット・1回転データ/多回転データリセットを試みました。 |
| 228      | カレンダー時刻消失エラー（RTC発振停止検出）   | 【内容・原因】カレンダー用電源の電圧低下により、時刻を消失しました。<br>【対処方法】時刻を再設定してください。 |
| 22A      | RTCデバイスデータエラー                      | 【内容・原因】カレンダー機能の時刻データエラーです。カレンダー用電源の電圧低下の場合にも発生します。<br>【対処方法】時刻を再設定してください。時刻設定を行っても再発する場合は、ノイズまたは部品故障の可能性があります。 |
| 22B      | ポジションデータコメント消失エラー           | 【内容・原因】ポジションデータコメント編集後、フラッシュROM保存せずにコントローラーを電源OFFまたはソフトウェアリセットを行いました。<br>【対処方法】ポジションデータコメント編集後はフラッシュROM保存してください。 |

</contents>
