ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page413

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は主に表形式で、エラーNo.、エラー名称、内容・原因および対処方法が一覧で示されています。テキスト部分はエラーの説明や対処方法の詳細を含み、表部分はエラー情報を体系的に整理しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー一覧

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|:---------|:---------------------------------|:------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 22D      | メンテナンス情報変更数エラー       | 【内容・原因】メンテナンス情報変更数が異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 22E      | メンテナンス情報種別エラー         | 【内容・原因】メンテナンス情報種別が異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 22F      | メンテナンス情報No.エラー          | 【内容・原因】メンテナンス情報No.が異常です。                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| 231      | 移動回数目標値オーバー             | 【内容・原因】通算移動回数が、軸別パラメーターNo.221「通算移動回数目標値」に設定した回数を超えました。                                                                                                                                                                                                                                                                                                                                                                                               |
| 232      | 走行距離目標値オーバー             | 【内容・原因】通算走行距離が、軸別パラメーターNo.222「通算走行距離目標値」に設定した距離を超えました。                                                                                                                                                                                                                                                                                                                                                                                               |
| 233      | ファンエラー                       | 【内容・原因】ファンの回転低下、または停止を検出しました。<br>【確認方法】ファン装着位置および要因は、エラー詳細情報（Info.1、Info.4）に格納されます。<br>1) エラー対象のファン装着位置の確認（エラー詳細情報 Info.1）<br>装着位置をbit単位でセット。表示は16進数。<br>・ビット0～ビット5：コントローラー筐体上部の右側からファン1～ファン6<br>・ビット28：ブレーキボード装着ファン（高容量仕様）<br>2) エラー要因（エラー詳細情報 Info.4）<br>0：コントローラー筐体装着ファンの回転低下<br>2：ブレーキボード装着ファン（高容量仕様）の回転低下<br>【対処方法】<br>・コントローラー筐体に装着しているファンの場合、ファンを交換してください。交換方法は「8.4.3 ファン交換」を参照。<br>・ブレーキボード装着ファンの場合、当社に連絡してください。 |
| 237      | パスワードエラー                 | 【内容・原因】アップデートツールから受信したパスワードが不整合のため、アップデートモードへの移行を中止しました。<br>【対処方法】アップデートツールが本コントローラーに対応しているかを確認してください。                                                                                                                                                                                                                                                                           |
| 238      | 軸使用中電子カムテーブル書込み指令拒絶エラー | 【内容・原因】軸動作中もしくはプログラム動作中に電子カムテーブルデータの書込み指令が行われました。<br>【対処方法】すべての軸およびプログラムが停止していることを確認後、再度書込みを行ってください。                                                                                                                                                                                                                                                                               |
| 239      | 電子カムテーブルデータ指定エラー   | 【内容・原因】電子カムテーブルデータ読出し/書込み時、不正な変位データ数が指定されました。<br>【対処方法】パソコン対応ソフトやティーチングボックスを使用中に頻発する場合は、当社に連絡してください。                                                                                                                                                                                                                                                                                   |
</contents>
