ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page414

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は主に表形式で構成されており、エラーNo.、エラー名称、内容・原因および対処方法が記載されたエラー一覧表となっています。テキスト部分は表の説明や注意事項が含まれています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                              |
| :------- | :-------------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 23A      | 拡張モーション制御用ポジションNo.エラー | 【内容・原因】拡張モーション制御用軸ポジションNo.指定に誤りがあります。<br>【対処方法】パソコン対応ソフトやティーチングボックスを使用中に頻発する場合は、当社に連絡してください。                                                                                   |
| 23F      | エンコーダーオーバーヒート警告       | 【内容・原因】エンコーダー周りの温度が上昇し、エンコーダー温度がオーバーヒート警告レベルを超えました。モーターの発熱や周囲温度の上昇が原因です。<br>【対処方法】1) 軸別パラメーターNo.241で警告レベルを確認・調整。2) 摺動抵抗の点検。3) 改善しない場合は加減速度の設定を下げるか停止時間の割合を増やす。 |
| 406      | フラッシュビジー解除待ちタイムアウト | 【内容・原因】フラッシュROMのイレースまたはライト異常。ノイズによる誤動作やフラッシュROM故障の可能性。<br>【対処方法】ノイズ対策の確認・検討。再発時は当社に連絡。                                                                                                           |
| 407      | 制御定数テーブル管理情報不整合エラー   | 【内容・原因】制御定数テーブルの管理情報が不正。コントローラー起動時に発生し、テーブル更新が必要な場合あり。<br>【対処方法】エラー再発時は当社に連絡。                                                                                                                               |
| 408      | 制御定数テーブルIDエラー             | 【内容・原因】制御定数テーブルIDが異常。                                                                                                                                                                                                       |
| 409      | エンコーダー制御定数エラー（電源電圧制御） | 【内容・原因】電源電圧制御関連のエンコーダー制御定数が異常。電源電圧調整不可。※エンコーダーには電源電圧非調整で電源供給。                                                                                                                   |
| 40A      | エンコーダー電源電圧計算エラー         | 【内容・原因】エンコーダー電源電圧調整不可。※エンコーダーには電源電圧非調整で電源供給。<br>【対処方法】ドライバーパラメーターNo.26、エンコーダーパラメーターNo.11の“モーター・エンコーダー構成情報”を確認。                                                                 |
| 40B      | 速度制御パラメーター計算エラー         | 【内容・原因】ドライバーパラメーターNo.38、39、40、43、44、45などを確認。                                                                                                                                                                     |
| 40C      | ビジョンシステムイニシャル未完了エラー   | 【内容・原因】ビジョンシステムがイニシャル未完了状態。<br>【対処方法】全軸共通パラメーターNo.88の入力ポートNo.設定、ビジョンシステムのイニシャル完了確認。                                                                                                                               |
</contents>
