ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page416

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が記載されています。テキストはエラーの詳細説明と対処方法の文章で構成されており、図やグラフは含まれていません。全体は動作解除レベルエラーに関する情報が中心です。
</overview>

<contents>
### 表
#### エラー表（動作解除レベルエラー）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                   |
| --------- | -------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 413       | トラッキング動作中禁止命令実行エラー | 【内容・原因】<br>コンベアトラッキングシステム使用時のアラーム。禁止されている命令を実行しようとした。<br>対象命令例：CP移動命令以外の移動系SEL命令、SVON命令、HOME命令、CHVL命令、PUSH命令、COMP1命令など。<br>【対処方法】<br>TRAC命令でトラッキング動作を終了させてから実行する。                                                                                   |
| 414       | 検出ワーク滞留数オーバーエラー       | 【内容・原因】<br>カメラ（ビジョンシステム）やロボット間、ワーク検出センサー間の検出済みトラッキング動作待ちワーク数が滞留可能数を超えた。TRAC命令を速やかに実行しない場合も発生。<br>【対処方法】<br>コンベア上のワーク数を減らす、センサーからトラッキング動作開始位置までの距離を短縮、トラッキング動作時間を短縮しワーク滞留数を減らす。 |
| 415       | 未サポート識別コード受信エラー（トラッキング・ビジョンシステムI/Fデータ通信） | 【内容・原因】<br>コンベアトラッキングシステム使用時のアラーム。ビジョンシステムから未サポートの識別コードを受信。<br>【対処方法】<br>送信データを確認。                                                                                                                                                                                                                   |
| 416       | 受信伝文エラー（トラッキング・ビジョンシステムI/Fデータ通信） | 【内容・原因】<br>コンベアトラッキングシステム使用時のアラーム。ビジョンシステムから不正なデータを受信。<br>【対処方法】<br>フォーマットと異なるデータが送信されていないか確認。                                                                                                                                                                                           |
| 417       | 受信ワーク数エラー（トラッキング・ビジョンシステムI/Fデータ通信） | 【内容・原因】<br>コンベアトラッキングシステム使用時のアラーム。ビジョンシステムから受信したワーク数が1回撮像当たりのワーク数上限を超過。<br>【対処方法】<br>コンベア上のワーク間隔を広げるなどして上限を超えないようにする。                                                                                                                                               |
| 418       | ワーク情報ハンドリングビジーエラー     | 【内容・原因】<br>コンベアトラッキングシステム使用時のアラーム。トラッキング・ビジョンシステムI/F内部処理異常。ワーク情報ハンドリング処理がビジー状態で処理継続不可。エラーNo.419も発生の可能性あり。                                                                                                                                                |
| 419       | ワーク情報ハンドリングタイムアウトエラー | 【内容・原因】<br>コンベアトラッキングシステム使用時のアラーム。トラッキング・ビジョンシステムI/F内部処理異常。ワーク情報ハンドリング処理がタイムアウト。                                                                                                                                                                                                       |
| 41A       | 不正制御系遷移指令エラー               | 【内容・原因】<br>1) 制振制御駆動中に閉ループ位置制御へ遷移指令された。<br>2) 閉ループ位置制御駆動中に制振制御へ遷移指令された。                                                                                                                                                                                                                                   |
</contents>
