ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page429

<overview>
本ページは「7.3 エラー表」の一部であり、主にコールドスタートレベルエラーに関するエラーNo.、エラー名称、内容・原因および対処方法を表形式で示している。テキスト部分はエラーの詳細説明と対処方法の記述で構成されている。表部分はエラー情報を体系的に整理したもので、グラフや図は含まれていない。
</overview>

<contents>
### 表
#### コールドスタートレベルエラー一覧

| エラーNo. | エラー名称                         | 内容・原因                                                                                                   | 対処方法                                                                                   |
| --------- | -------------------------------- | ---------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ |
| 58C       | スレーブSVP通信パケットエラー     | I/Oインターフェイス処理部でスレーブSVPとの通信異常を検出。ノイズやハードウェア故障の可能性。<br>エラー詳細情報(Info.1)にエラー発生ボード情報(16進数)を格納。<br>Info1: 10h:ベースボード、11h:インターフェイスボード、12h:ブレークボード<br>ベースボードでエラー発生時は正しい時刻が表示されない場合あり。 | ノイズ確認や対策、電源再投入しても発生する場合は当社まで連絡。                                         |
| 58D       | I/Oインターフェイス初期化エラー   | I/Oインターフェイス処理部の初期化時に異常発生。                                                               | 電源再投入しても発生する場合は当社まで連絡。                                                     |
| 58E       | I/Oインターフェイスアンダーランエラー | I/Oインターフェイス処理部の動作異常を検出。                                                                   | 電源再投入しても発生する場合は当社まで連絡。                                                     |
| 58F       | I/Oインターフェイス入出力制御エラー | 入出力制御の異常を検出。                                                                                       | 電源再投入しても発生する場合は当社まで連絡。                                                     |
| 590       | I/Oインターフェイス入力更新異常   | I/Oインターフェイス処理部から取得した入力データの更新異常を検出。                                               | 電源再投入しても発生する場合は当社まで連絡。                                                     |
| 591       | I/Oインターフェイス入力サムチェックエラー | I/Oインターフェイス処理部から取得した入力データのサムチェック異常を検出。ノイズやハードウェア故障の可能性。         | ノイズ確認や対策、電源再投入しても発生する場合は当社まで連絡。                                         |
| 592       | I/Oインターフェイスエラー情報未更新エラー | データ異常によりI/Oインターフェイス処理部からのエラー情報が更新されず。エラーNo.590または591と同時に検出される場合あり。 | ノイズ確認や対策、電源再投入しても発生する場合は当社まで連絡。                                         |
| 593       | I/Oインターフェイス制御メッセージハンドリングエラー | I/Oインターフェイス処理部とのI/O制御用メッセージ処理で異常発生。                                               | 電源再投入しても発生する場合は当社まで連絡。                                                     |

</contents>
