ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page432

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、テキスト部分と表部分で構成されています。テキスト部分ではエラー番号の表示方法について簡単に説明があり、表部分では各エラーNo.ごとにエラー名称、内容・原因、対処方法が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー一覧（コールドスタートレベルエラー）

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                                                                                                                                                         |
| :------- | :------------------------------------------ | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 59C      | I/Oスロット内部電源電圧異常                 | 【内容・原因】<br>I/Oスロットの内部電源電圧異常を検出しました。ハードウェア故障などの可能性があります。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡してください。                                                                                   |
| 59D      | エンコーダーI/F実装軸数不整合エラー         | 【内容・原因】<br>有効軸設定（全軸共通パラメーターNo.1 “有効軸パターン”）とインターフェイスボードのエンコーダーI/F実装数が不整合です。<br>【対処方法】<br>有効軸設定とコントローラー型式を確認してください。                                                               |
| 59E      | AUTOモード時ブレーキ強制リリースエラー     | 【内容・原因】<br>AUTOモードで起動時、ブレーキ強制リリース状態を検出しました。<br>【対処方法】<br>ブレーキ解除スイッチ、ブレーキ解除入力（ブレーキ解除スイッチ接続コネクター）、ブレーキ強制リリース入力（I/OパラメーターNo.62～69、816～847）の状態を確認し、通常状態に戻してください。 |
| 59F      | RAUTO論理異常                               | 【内容・原因】<br>コントローラー内部ピン折損などの可能性があります。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡してください。                                                                                                                             |
| 5A0      | システム終了未実行エラー                     | 【内容・原因】<br>システムが正常に終了しませんでした。ノイズなどによるシステム誤動作の可能性があります。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡してください。                                                                                   |
| 5A1      | I/Oインターフェイスコード領域破壊エラー     | 【内容・原因】<br>I/Oインターフェイス処理部でコード領域の異常を検出しました。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡してください。                                                                                                                     |
| 5A2      | 拡張モーション制御フィールドバスサイクリック通信エラー | 【内容・原因】<br>フィールドバスインターフェイスとのアクセス時に異常が発生しました。以下の要因が考えられます。<br>1) ハードウェア故障<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡してください。                                                       |
| 5A3      | 拡張モーション制御スレーブ通信確立確認タイムアウトエラー | 【内容・原因】<br>スレーブドライバーとの通信が設定時間内に確立できませんでした。<br>【対処方法】<br>エラーが頻発する場合は、当社まで連絡してください。                                                                                                                             |
| 5A4      | 拡張モーション制御フィールドバスパラメーターエラー | 【内容・原因】<br>拡張モーション制御のパラメーター設定値に異常があります。以下の要因が考えられます。<br>1) 拡張モーション制御軸別パラメーターNo.4 “スレーブアドレス”の設定が不正（範囲外の値の設定やアドレスの重複指定など）<br>【対処方法】<br>エラーが発生した軸No.などを参考に、パラメーター設定を見直してください。 |

</contents>
