ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page434

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。主に表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラーの説明と対処方法の詳細で構成されており、図やグラフは含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、エラー番号の前に「E」が表示されることが説明されています。

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                                                                                                                                                   |
| --------- | -------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 5A9       | 拡張モーション制御フィールドバス同期異常     | 【内容・原因】<br>XSELが同期異常（WDT異常）を検出。<br>1) ノイズ、ケーブル断線/接続不良などによる通信異常。<br>2) ハードウェア故障。<br>【対処方法】<br>取扱説明書「トラブルシューティング」を参照。                                                                                   |
| 5AA       | 拡張モーション制御インターフェイス重故障エラー | 【内容・原因】<br>拡張モーション制御インターフェイスで異常発生。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡。                                                                                                                                                |
| 5AB       | 拡張モーション制御インターフェイスエラー       | 【内容・原因】<br>拡張モーション制御インターフェイスでエラー発生。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡。                                                                                                                                                |
| 5AC       | 拡張モーション制御インターフェイスアンダーランエラー | 【内容・原因】<br>拡張モーション制御インターフェイスの動作異常検出。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡。                                                                                                                                                |
| 5AD       | 拡張モーション制御インターフェイスレスポンスサムチェックエラー | 【内容・原因】<br>拡張モーション制御インターフェイスから受取ったレスポンスデータのサムチェック異常検出。<br>【対処方法】<br>電源再投入しても発生する場合は、当社まで連絡。                                                                                                          |
| 5AE       | 拡張モーション制御フィールドバススレーブ局通信異常検出 | 【内容・原因】<br>スレーブ局で通信異常検出。<br>1) ノイズ、ケーブル断線/接続不良などによる通信異常。<br>2) ハードウェア故障。<br>【対処方法】<br>取扱説明書「トラブルシューティング」を参照し、ケーブルの挟み込みやコネクター接触不良、ノイズ対策を確認。<br>エラー発生時は電源再投入が必要。 |
| 5AF       | 拡張モーション制御フィールドバス未サポートスレーブ局検出 | 【内容・原因】<br>サポートしていないスレーブ局が接続されている。<br>【対処方法】<br>取扱説明書を確認し、サポートされたスレーブを接続。                                                                                                                                            |

</contents>
