ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page438

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、主に以下の3つの部分から成り立っています。
1. テキスト部分：エラー表示の説明と注意事項
2. 表部分：エラーNo.、エラー名称、内容・原因・対処方法をまとめた詳細なエラー一覧表
3. グラフ・図はなし
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されることが説明されています。

### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                   |
| :------- | :-------------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| 5C6      | エンコーダー拡張データ異常エラー | 【内容・原因】<br>エンコーダーから取得したエンコーダー温度が異常な値でした。原因としては、1) エンコーダーに対するノイズの影響、2) エンコーダーの故障が考えられます。<br>【対処方法】<br>コントローラーを再起動しても復旧しない場合はエンコーダーの故障が疑われるため、当社まで連絡してください。 |
| 5C7      | エンコーダーオーバーヒートエラー | 【内容・原因】<br>エンコーダー周りの温度が上昇し、エンコーダー温度が動作最大温度を超えました。原因はモーターの発熱や周囲温度の上昇です。<br>【対処方法】<br>・積載荷重を最大可搬質量内にする<br>・周囲温度を使用可能周囲温度内にする<br>・許容値以下のデューティー比で運転する<br>・加減速設定・休止時間を増やす<br>・摺動抵抗が大きくないか点検する<br>改善しない場合は当社へ連絡<br>【注意事項】<br>運転再開時は必ず対策後に行い、2時間以上経過してから電源再投入してください。 |
| 601      | EMG 論理異常                      | コントローラー内部ピン折損などの可能性があります。                                                                                                                                                                                   |
| 602      | ENB 論理異常                      | コントローラー内部ピン折損などの可能性があります。                                                                                                                                                                                   |
| 603      | 駆動源遮断リレーDET（MELT）エラー | 駆動源遮断リレー溶着の可能性があります。                                                                                                                                                                                             |
| 604      | 電源ボード CPU レディーOFFエラー  | 電源ボードのレディーを確認できません。                                                                                                                                                                                               |
| 605      | 強制放電エラー                    | 強制放電異常です。駆動源遮断リレー異常の可能性もあります。電源再投入が必要です。                                                                                                                                                     |
| 606      | 回生放電エラー                    | 回生放電異常です。電源再投入が必要です。                                                                                                                                                                                             |
</contents>
