ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page444

<overview>
本ページは「7.3 エラー表」のセクションで構成されており、主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が記載されています。テキスト部分はエラー表示に関する説明文が冒頭にあり、その後に詳細なエラー情報をまとめた表が続きます。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                                         |
| :------- | :------------------------------------------ | :---------------------------------------------------------------------------------------------------------------------------- |
| 665      | ドライバー/エンコーダー通信ラインチャンネル No.指定エラー | 全軸共通パラメーターNo.101、102 “ドライバー/エンコーダー通信ラインチャンネル設定”が異常（異常値、多重指定）です。           |
| 666      | ドライバー初期通信種別指定エラー             | 全軸共通パラメーターNo.103、104 “ドライバー初期通信種別設定”が異常（異常値、多重指定、不整合）です。                         |
| 667      | 有効軸指定時ドライバー初期通信ライン無効指定エラー | 有効軸に対して初期通信ラインチャンネルNo.の指定がありません。全軸共通パラメーターNo.1 “有効軸パターン”、No.101、102 “ドライバー/エンコーダー通信ラインチャンネル設定”、No.103、104 “ドライバー初期通信種別設定”を確認してください。 |
| 668      | ドライバーターゲット情報初期化エラー         | ドライバーターゲット情報の初期化シーケンスが正常に完了しませんでした。実装されているドライバーボードを確認してください。全軸共通パラメーターNo.101、102、103、104、またはドライバーパラメーターNo.26、エンコーダーパラメーターNo.11などを確認してください。 |
| 669      | エンコーダーターゲット情報初期化エラー       | エンコーダーターゲット情報の初期化シーケンスが正常に完了しませんでした。実装されているエンコーダーを確認してください。全軸共通パラメーターNo.101、102、103、104、またはドライバーパラメーターNo.26、エンコーダーパラメーターNo.11などを確認してください。 |
| 66A      | 電源系ターゲット情報初期化エラー             | 電源系ターゲット情報の初期化シーケンスが正常に完了しませんでした。実装されている電源系ボードを確認してください。電源系ボードのパラメーターを確認してください。 |
| 66B      | スレーブ通信異常レスポンスエラー             | スレーブ通信時に異常レスポンスを受信しました。                                                                                 |
| 66C      | SCI LRC エラー（スレーブ通信）                | スレーブ通信時の伝文LRC異常です。                                                                                             |
| 66D      | スレーブ通信ターゲットIDエラー               | スレーブ通信時のターゲットID異常です。                                                                                         |
| 66E      | スレーブ通信ブロックNo.エラー                 | スレーブ通信時のブロックNo.異常です。                                                                                         |
| 66F      | 軸No.割当てなしターゲット指定エラー           | スレーブ通信（ドライバーまたはエンコーダー）時のターゲット指定異常（軸No.割当てなしターゲットID、またはドライバーボード内部軸）です。 |
| 670      | ターゲットボード種別エラー                   | ターゲットのボード種別が異常です。                                                                                             |
| 671      | エンコーダー制御関連データエラー             | エンコーダー制御関連データが異常、または取得できません。エラーNo.65A、65B、669と同様の対処をしてください。                   |
| 672      | モーター制御関連データエラー                 | エンコーダー制御関連データが異常、または取得できません。エラーNo.65C、65D、668、669と同様の対処をしてください。             |
</contents>
