ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page449

<overview>
本ページは「7.3 エラー表」の章に属し、主にエラー番号ごとのエラー名称とその内容・原因、対処方法を表形式でまとめています。ページ全体は表部分で構成されており、テキスト部分は表内の説明文として存在します。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表（エラーNo.、エラー名称、内容・原因 / 対処方法）

| エラーNo. | エラー名称                              | 内容・原因 / 対処方法                                                                                              |
| -------- | ------------------------------------- | ----------------------------------------------------------------------------------------------------------------- |
| 810      | イーサネットコントロールステータス2 | 【内容・原因】<br>イーサネット制御情報（解析用）です。（エラーではありません。）<br>1) TCP/IPメッセージ通信でSELコントローラーが出した接続要求が通信相手機器から拒絶された。また、通信相手機器が起動していない。<br>2) TCP/IPメッセージ通信が通信相手機器から切断された<br>3) TCP/IPメッセージ通信受信データバッファーのオーバーフローが発生した<br>【対処方法】<br>1) 2) 通信相手のIPアドレス・ポートNo.が正しいか確認してください。また、通信相手機器の状態を確認してください。<br>3) 通信相手機器からデリミタを送っているか確認してください。また、SELコントローラーの受信データバッファーサイズを超えたデータを送っていないか確認してください。 |
| 811      | メンテナンス情報1                     | メンテナンス情報（解析用）です。                                                                                  |
| 812      | メンテナンス情報2                     | メンテナンス情報（解析用）です。                                                                                  |
| 813      | メンテナンス情報3                     | メンテナンス情報（解析用）です。                                                                                  |
| 814      | メンテナンス情報4                     | メンテナンス情報（解析用）です。                                                                                  |
| 815      | メンテナンス情報5                     | メンテナンス情報（解析用）です。                                                                                  |
| 821      | トラッキングシステム調整種別指定エラー | トラッキングシステム調整種別指定が不正です。許容される種別のみ指定してください。※スカラだけのエラー                                                        |
| 824      | コントローラー電源オンログ             | コントローラー電源オン時刻のログです。（エラーではありません）                                                    |
| 825      | コントローラーソフトウェアリセットログ | コントローラーソフトウェアリセット時刻のログです。（エラーではありません）                                        |
| 827      | SIOオーバーランステータス（IAIプロトコル受信時） | 【内容・原因】通信障害。<br>【対処方法】ノイズ、接続機器、通信設定を確認してください。                             |
| 828      | SIOパリティERステータス（IAIプロトコル受信時） | 【内容・原因】通信障害。<br>【対処方法】ノイズ、通信ケーブルのショート・断線、接続機器、通信設定を確認してください。 |

</contents>
