ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page450

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されたエラー一覧表となっています。テキスト部分はエラーの説明や対処方法の詳細が含まれており、表部分がメインで構成されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 7.3 エラー表

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                           |
| :------- | :---------------------------------- | :------------------------------------------------------------------------------------------------------------- |
| 829      | SIO フレーミングERステータス (IAIプロトコル受信時) | 【内容・原因】通信障害。<br>【対処方法】ノイズ、通信ケーブルのショート・断線、接続機器、通信設定を確認してください。 |
| 82A      | SIO 他要因受信ERステータス (SEL受信時) | 【内容・原因】通信障害。<br>【対処方法】ノイズ、通信ケーブルのショート・断線、接続機器、通信設定を確認してください。 |
| 82B      | スレーブSVPリセット要因ログ検出       | 【内容・原因】スレーブSVPの前回リセット要因ログを検出しました。解析用情報であり、エラーではありません。           |
| 900      | 空ステップ不足エラー                   | ステップデータを保存するための空きステップが不足しています。保存に必要な空きステップを確保してください。           |
| 901      | ステップNo.エラー                     | ステップNo.が異常です。                                                                                         |
| 902      | シンボル定義テーブルNo.エラー          | シンボル定義テーブルNo.が異常です。                                                                             |
| 903      | ポジションNo.エラー                   | ポジションNo.が異常です。                                                                                       |
| 904      | 変数No.エラー                        | 変数No.が異常です。                                                                                             |
| 905      | フラグNo.エラー                      | フラグNo.が異常です。                                                                                           |
| 906      | 入出力ポート・フラグNo.エラー          | 入出力ポート・フラグNo.が異常です。                                                                             |
| 912      | PC・TPサーボ移動コマンド受付け許可入力OFFエラー | I/OパラメーターNo.77で指定された入力ポートOFF中は、パソコン対応ソフト・ティーチングボックスからのI/OパラメーターNo.78対象軸移動コマンドを受け付けません。<br>（要注意：動作開始後は許可入力ポート無効） |
| 913      | 複数プログラム同時起動禁止エラー        | 【内容・原因】マニュアルモード時、複数プログラム同時起動禁止状態で複数のプログラムを起動しようとしました。複数プログラム同時起動禁止状態では1プログラムしか起動できません。<br>【対処方法】複数プログラムを起動する場合は、パソコン対応ソフト・ティーチングボックスの複数プログラム同時起動設定により同時起動許可を選択してください。 |
| 914      | アブソデータバックアップバッテリー電圧異常 | アブソデータバックアップバッテリー接続確認・交換、エンコーダーケーブル接続確認後、アブソリュートリセットを行ってください。 |

</contents>
