ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page459

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。  
主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が記載されています。  
テキスト部分はエラーの説明と対処方法の詳細で、表部分はエラー情報の一覧表です。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

| エラーNo. | エラー名称                                   | 内容・原因 / 対処方法                                                                                                                                                                                                                   |
| :------- | :------------------------------------------ | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| B0F      | ABSエンコーダーカウンターオーバーフローエラー | 【内容・原因】<br>エンコーダーの多回転カウンターが上限を超えました。回転軸の場合は、サーボOFF時に手動で軸を回転させるなどで、エンコーダー上限を超えた可能性があります。また、アブソリュートリセットに失敗した可能性があります。<br>【対処方法】<br>アブソリュートリセットを再度行ってください。 |
| B10      | Z相サーチタイムアウトエラー                 | Z相を検出できません。動作の拘束・配線・エンコーダー・モーターなどを確認してください。                                                                                                                                               |
| B11      | 原点センサー脱出タイムアウトエラー           | 原点センサーからの脱出を確認できません。動作の拘束・配線・モーター・原点センサーなどを確認してください。                                                                                                                           |
| B12      | SELコマンドリターンコード格納変数No.エラー   | SELコマンドリターンコード格納変数No.エラー                                                                                                                                                                                           |
| B15      | 入力ポートデバッグフィルター種別エラー       | 入力ポートデバッグフィルター種別設定値が異常です。                                                                                                                                                                                   |
| B16      | SELオペランド指定エラー                       | SEL命令語オペランド指定に異常があります。                                                                                                                                                                                           |
| B17      | スレーブコマンド発行時パラメーターレジスタービジーエラー | スレーブコマンド発行でドライバー特殊コマンドACKがタイムアウトになりました。                                                                                                                                                           |
| B18      | デバイスNo.エラー                             | デバイスNo.が異常です。                                                                                                                                                                                                             |
| B19      | ユニット種別エラー                           | ユニット種別が異常です。                                                                                                                                                                                                             |
| B1A      | ABSリセット指定エラー                         | オプション機能などでABSリセットを行う際の指定に不正があります。（2軸以上同時指定・ABSエンコーダー以外軸指定など）                                                                                                                   |
| B1B      | イーサネット非クローズソケットオープンエラー | ソケットをクローズせずに、再度、オープンしようとしました。                                                                                                                                                                           |
| B20      | イーサネット未初期化デバイス使用エラー       | イーサネットデバイスの初期化が完了していない状態で、イーサネットシステムを使用しようとしました。使用目的に応じ、I/OパラメーターNo.123～159、14、15などを確認してください。                                                   |
</contents>
