ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page461

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で、エラーNo.、エラー名称、内容・原因および対処方法が記載された「動作解除レベルエラー」の一覧表となっています。テキスト部分はエラーの説明と対処方法の詳細で、表部分はエラー情報を体系的に整理したものです。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 7.3 エラー表（動作解除レベルエラー）

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                                                                                                                                                   |
| :-------- | :----------------------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| B48       | 座標系定義データエラー         | 【内容・原因】<br>ワーク座標系・ツール座標系のデータに異常があります。<br>【対処方法】<br>エラーが発生したSEL命令の取扱説明書を確認し、データの変更や座標系選択No.の変更をしてください。                                                                                   |
| B4A       | 軸移動中指令エラー             | 【内容・原因】<br>軸移動中に不正な操作が行われました。<br>・軸移動中にコンプライアンスモードを設定（COMP命令）<br>【対処方法】<br>軸移動中にコンプライアンスモードの設定をしないように、SELプログラムなどを変更してください。                                                   |
| B4B       | サーボ使用中負荷質量変更禁止エラー | 現在サーボ系が使用している負荷質量は変更できません。                                                                                                                                                                                   |
| B4D       | 腕系設定エラー                 | 腕系設定が異常です。スカラCP移動（直線補間、円弧補間移動など）するポジションに目標腕系データを設定している場合に、現在の腕系とポジションの目標腕系が異なります。この場合は現在腕系とポジションの目標腕系を同じにするようにしてください。<br>※スカラだけのエラー |
| B4E       | 位置ゲイン切替エラー           | 【内容・原因】<br>位置ゲインを切替えできませんでした。以下の要因が考えられます。<br>1) 動作中・押付け中軸などに対して位置ゲイン切替えを試みた。<br>2) 位置ゲイン切替え中にプログラムが終了された。<br>3) 振動が発生して位置決め幅内に留まらない。<br>4) コンプライアンスモード中に位置ゲイン切替えを試みた。<br>【対処方法】<br>1)～4)のタイミングを避けて、WGHT・WGT2命令を実行してください。 |
| B70       | 座標系定義データサムチェックエラー | フラッシュROMデータが破壊されています。<br>※スカラだけのエラー                                                                                                                                                                       |
| B71       | 座標系No.エラー               | 【内容・原因】<br>座標系No.が異常です。<br>・ワーク座標系No.0～31以外を指定<br>・ツール座標系No.0～127以外を指定<br>・ワーク座標系No.0・ツール座標系No.0のオフセット量を変更<br>・COMP1命令実行時に、ツール座標系No.0以外を選択<br>【対処方法】<br>SEL命令・IAIプロトコルコマンドの座標系No.指定、選択座標系No.の値を確認し、座標系No.を修正してください。 |
| B72       | 座標系種別エラー             | 座標系種別が異常です。<br>※スカラだけのエラー                                                                                                                                                                                       |
</contents>
