ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page462

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は主に表形式で構成されており、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキスト部分は表の説明やエラーの詳細な内容、対処方法の文章で構成されています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### 動作解除レベルエラー一覧

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|-----------|----------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| B73       | サーボ使用中座標系データ変更禁止エラー | 【内容・原因】<br>1) サーボ系使用中の選択ワーク座標系No.・ツール座標系No.を変更しようとした<br>2) サーボ系使用中のワーク座標系・ツール座標系オフセット量を変更しようとした<br>3) コンプライアンスモード中に、ツール座標系選択No.を変更しようとした<br>【対処方法】<br>1) 軸動作中などに選択座標系No.を変更しないように、SELプログラムなどを修正してください。<br>2) 軸動作中などに現在選択中ワーク座標系・ツール座標系オフセット量を変更しないように、SELプログラムなどを修正してください。<br>3) コンプライアンスモード中に選択ツール座標系No.を変更しないように、SELプログラムなどを修正してください。 |
| B74       | CP動作制限帯侵入エラー（PTP・各軸ジョグ可） | 【内容・原因】<br>1) スカラロボットのCP動作中に、ロボットの現在位置がCP動作制限帯（特異点近傍）内に入った。<br>2) スカラロボットのコンプライアンス制御中に、ロボットの指令位置・現在位置がCP動作制限帯（特異点近傍）内に入った。<br>【対処方法】<br>1) スカラロボットのCP移動経路が特異点近傍にならないようにロボット・ワークなどの位置を調整してください。<br>2) スカラロボットのコンプライアンス制御中に特異点近傍位置にならないように、ロボット・ワークなどの位置を調整してください。 |
| B75       | 特異点計算エラー                   | 特異点のため、CP計算できません。第2アーム原点不良などにより、座標値に異常がないか確認してください。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                                                   |
| B77       | 現在腕系設定エラー                 | 設定しようとしている腕系と第2アーム実角度が不整合、または、座標不確定状態です。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                                                                     |
| B78       | 現在腕系不定エラー                 | 現在腕系が不定です。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| B79       | 姿勢制御補正中R軸サーボOFF検出エラー | 姿勢制御補正中R軸サーボOFFを検出しました。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                                                                                                             |
| B7A       | RZ機構補正中Z軸サーボOFF検出エラー | RZ機構補正中Z軸サーボOFFを検出しました。                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| B7B       | 背面侵入禁止エリア内目標軌跡エラー | 目標位置、または、目標軌跡が背面侵入禁止エリア内にあります。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                                                                                           |
| B7C       | CP動作制限帯内目標軌跡エラー（PTP・各軸ジョグ可） | 目標位置、または、目標軌跡がCP動作制限帯内にあります。PTP動作、各軸ジョグ動作は可能です。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                                                             |
| B7D       | 物理的実現不能目標値エラー         | 第1・第2軸アーム長構成で実現不能な目標値が指定されました。“軸別パラメータNo.138 アーム長”と目標値を確認してください。<br>※スカラだけのエラー                                                                                                                                                                                                                                                                                                                                             |
</contents>
