ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page464

<overview>
このページは「7.3 エラー表」に関する内容で構成されています。主にテキストと表で構成されており、パネルウィンドウに表示されるエラーNo.とその名称、内容・原因・対処方法が一覧形式で示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                   |
| --------- | -------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| B90       | 通過距離計算エラー               | 通過距離計算エラーが発生しました。<br>※スカラだけのエラー                                                                                                                                                                           |
| B91       | メイン過剰速度必要エラー         | 過剰な速度が必要とされています。CP動作で特異点近傍を通過する際にも発生する場合があります。CP動作は、特異点近傍を避けてプログラムしてください。指定速度を下げることにより回避できる場合もあります。<br>※スカラだけのエラー |
| B96       | 機構補正中サーボOFF軸検出エラー | 機構補正中に補正軸のサーボOFFを検出しました。                                                                                                                                                                                         |
| B97       | ポジション出力操作データ指定エラー | 【内容・原因】<br>ポジション出力操作に関するデータの指定が異常です。このエラーは以下の場合に発生します。<br>1) 指定した出力ファンクションが実行できない。<br>・“指定距離通過ON/OFF”、“指定比率通過ON/OFF”が無効なSEL命令に対して指定した。<br>・トラッキング動作中に“指定距離通過ON/OFF”、“指定比率通過ON/OFF”を指定した。<br>2) コントローラーがサポートしていない出力ファンクションコードを指定した。<br>【対処方法】<br>エラーが発生したポジションの出力設定を見直してください。 |
| C00       | ユーザーシステムエラー           | 【内容・原因】<br>ユーザーシステムエラー出力命令（ECMD 300）が実行されました。<br>【対処方法】<br>命令を使用しているSELプログラムを確認してください。                                                                                 |
| C02       | 実行プログラム数オーバーエラー   | 同時に実行可能なプログラム数を超えて、実行の要求がありました。                                                                                                                                                                       |
| C03       | 未登録プログラム指定エラー       | I/Oまたは、プログラム上でプログラムNo.1～255のうち未登録のNo.を指示しました。                                                                                                                                                       |
| C04       | プログラムエントリーポイント未検出エラー | プログラムステップの登録がないプログラムNo.に対して、実行の要求がありました。                                                                                                                                                         |
| C05       | プログラムファーストステップBGSRエラー | 実行しようとしたプログラムが、BGSRで始まっています。                                                                                                                                                                               |
| C06       | 実行可能ステップ未検出エラー     | 実行しようとしたプログラムに、実行可能なプログラムステップがありません。                                                                                                                                                             |
| C07       | サブルーチン未定義エラー         | コールしようとしたサブルーチンが定義されていません。                                                                                                                                                                                 |
| C08       | サブルーチン多重定義エラー       | 同一のサブルーチンNo.に対して、複数箇所でサブルーチンが定義されています。                                                                                                                                                           |
</contents>
