ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page465

<overview>
このページは「7.3 エラー表」という章の一部であり、主にエラーコードとその名称、内容・原因および対処方法をまとめた表で構成されています。ページ全体は表形式で、テキストは表の説明やエラー内容の詳細に限定されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されることが説明されています。

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                  |
| :------- | :-------------------------------- | :--------------------------------------------------------------------------------------------------------------------- |
| C0A      | タグ多重定義エラー                 | 同一のタグNo.に対して、複数箇所でタグが定義されています。                                                             |
| C0B      | タグ未定義エラー                   | GOTO文のジャンプ先として指定されたタグが定義されていません。                                                           |
| C0C      | DW, IF, IS, SLペアエンドミスマッチエラー | 分岐命令の構文が異常です。EDIF、EDDO、EDSLの時に前回出現した分岐命令との対応が異常です。IF・IS命令とEDIFの対応、DO命令とEDDOの対応、SLCT命令とEDSLの対応を確認してください。 |
| C0D      | DW, IF, IS, SLペアエンド不足エラー | EDIF、EDDO、EDSLが見つかりません。IF・IS命令とEDIFの対応、DO命令とEDDOの対応、SLCT命令とEDSLの対応を確認してください。 |
| C0E      | BGSRペアエンド不足エラー           | BGSRに対応するEDSRが不足しているか、またはEDSRに対応するBGSRが不足しています。BGSRとEDSRの対応を確認してください。       |
| C0F      | DO, IF, ISネスト段数オーバーエラー | DO命令、IF・IS命令のネスト回数が限界値を超えています。ネスト回数オーバー、およびGOTO命令での構文外、構文内への分岐がないかを確認してください。 |
| C10      | SLCTネスト段数オーバーエラー       | SLCTのネスト回数が限界値を超えています。ネスト回数オーバー、およびGOTO命令での構文外、構文内への分岐がないかを確認してください。 |
| C11      | サブルーチンネスト回数オーバーエラー | サブルーチンコールのネスト回数が限界値を超えています。ネスト回数オーバー、およびGOTO命令での構文外、構文内への分岐がないかを確認してください。 |
| C12      | DO, IF, ISネスト段数アンダーエラー | EDIF、またはEDDOの位置が異常です。IF・IS命令とEDIFの対応、DO命令とEDDOの対応、およびGOTO命令での構文外、構文内への分岐がないかを確認してください。 |
| C13      | SLCTネスト段数アンダーエラー       | EDSLの位置が異常です。SLCTとEDSLの対応、およびGOTO命令での構文外、構文内への分岐がないかを確認してください。               |
| C14      | サブルーチンネスト回数アンダーエラー | EDSRの位置が異常です。BGSRとEDSRの対応、およびGOTO命令での構文外、構文内への分岐がないかを確認してください。               |
| C15      | SLCTの次ステップ命令コードエラー   | SLCTの次のプログラムステップは、WHEQ、WHNE、WHGT、WHGE、WHLT、WHLE、WSEQ、WSNE、OTHE、EDSLのいずれかでなければなりません。 |
| C16      | クリエートスタック失敗             | 入力条件状態格納スタックの初期化に失敗しました。                                                                         |
| C17      | 拡張条件コードエラー               | プログラムステップ異常。拡張条件のコードが異常です。                                                                     |
| C18      | 拡張条件LD同時処理数過大エラー     | LDの同時処理数が限界値を超えています。                                                                                   |
</contents>
