ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page468

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。  
主にテキストと表で構成されており、パネルウィンドウに表示されるエラーNo.とその名称、内容・原因・対処方法が一覧表形式で示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー一覧表

| エラーNo. | エラー名称                             | 内容・原因 / 対処方法                                                                                   |
| :------- | :----------------------------------- | :----------------------------------------------------------------------------------------------------- |
| C3A      | ユーザー開放通信チャンネルNo.エラー | ユーザー開放通信チャンネルNo.が異常です。                                                             |
| C3B      | パラメーターNo.エラー                 | パラメーターNo.が異常です。                                                                             |
| C3C      | 変数No.エラー                        | 変数No.が異常です。                                                                                     |
| C3D      | ストリングNo.エラー                  | ストリングNo.が異常です。                                                                               |
| C3E      | ストリング変数データ数指定エラー     | ストリング変数指定数がエリアオーバーなどの異常です。                                                   |
| C40      | ストリング変数内デリミタ未検出エラー | ストリング変数内のデリミタを検出できません。                                                           |
| C41      | ストリング変数コピーサイズオーバーエラー | ストリング変数コピーサイズが大き過ぎます。                                                             |
| C42      | ストリング処理時文字数未定義エラー   | ストリング処理時の文字列長が定義されていません。SLEN命令で定義してから、ストリング処理命令を実行してください。 |
| C43      | ストリング処理時文字列長エラー       | ストリング処理時の文字列長が異常です。SLEN命令で定義している文字列長の値を確認してください。           |
| C45      | シンボル定義テーブルNo.エラー        | シンボル定義テーブルNo.が異常です。                                                                     |
| C46      | ソースシンボル格納テーブル空きエリア不足エラー | ソースシンボルを格納するための空きエリアが不足しています。ソースシンボル使用回数を確認してください。     |
| C47      | シンボル検索エラー                   | プログラムステップで使用しているシンボルの定義が見つかりません。                                       |
| C48      | SIO伝文連続変換時エラー             | SIO送信伝文が伝文フォーマットと一致していないか、不正なデータが含まれています。送信伝文を確認してください。 |
| C49      | SEL-SIO他タスク使用中エラー          | SIOは、ほかのインタープリタータスクで使用中です。                                                     |
| C4B      | デリミタ未定義エラー                 | 終了文字が定義されていません。先にSCHA命令で終了文字を設定してください。                               |
</contents>
