ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page471

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は主に表形式で、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキスト部分は表の説明や補足的な注意書きが含まれています。図やグラフはなく、表が主体の構成です。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| :------- | :-------------------------------- | :---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| C6C      | ABSデータ取得中移動エラー         | 電源投入時のABSエンコーダーデータ取得中に軸の移動が検出されました。自立ケーブル反力などの外力によりアクチュエーターが移動している状態や、設置場所が振動している状態で、電源ON、またはソフトウェアリセットされた可能性もあります。ABS座標は確定できません。                                                                                                                                                |
| C6D      | 軸実装可能MAXオーバーエラー       | ベース命令で軸シフトした結果、実装可能軸を超える軸指定となりました。                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| C6E      | サーボOFF軸使用エラー             | 【内容・原因】サーボOFF軸の使用を試みました。<br>【対処方法】サーボONして使用してください。                                                                                                                                                                                                                                                                                                                                                                                                          |
| C6F      | 原点復帰未完了エラー               | 原点復帰が完了していません。エンコーダーパラメーター変更・アブソリュートリセット・エンコーダーエラーリセット後、ソフトウェアリセット・電源再投入を行わずに、運転を行った場合にも発生する可能性があります。                                                                                                                                                                                                                                                                            |
| C70      | ABS座標未確定エラー               | 【内容・原因】<br>1) アブソリュートエンコーダー軸で座標が確定していない。<br>2) エンコーダーパラメーター変更・アブソリュートリセット・エンコーダーエラーリセット後、ソフトウェアリセット・電源再投入が行われていない。<br>3) アブソリュートバッテリーの消耗、エンコーダーエラーなどで座標が消失した。<br>4) アブソリュートリセットが実行されていない。<br>5) コントローラー起動時に外力などで軸が動かされている（C6Cエラー併発）。<br>【対処方法】<br>1) ソフトウェアリセット・電源再投入を行う。<br>2) アブソリュートバッテリー交換、エンコーダーエラーリセットなどを行い、リセット実行後にソフトウェアリセット・電源再投入を行う。<br>3) リセット実行後にソフトウェアリセット・電源再投入を行う。<br>4) 外力や振動などの移動要因を取り除き、ソフトウェアリセットまたは電源再投入を行う。 |
| C71      | シンクロ従軸コマンドエラー       | シンクロ従軸にコマンドが発行されました。                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| C72      | オーバーランエラー               | オーバーランセンサーが作動しました。                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| C73      | 目標軌跡ソフトリミットオーバーエラー | 目標位置、または目標軌跡がソフトリミットを超えています。※スカラの場合は、ポジションデータが存在しない軸の可能性もあります。                                                                                                                                                                                                                                                                                                                                                                        |
| C74      | 実位置ソフトリミットオーバーエラー | 実際の位置が、ソフトリミットを“ソフトリミット実位置マージン”以上超えました。                                                                                                                                                                                                                                                                                                                                                                                                                            |
</contents>
