ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page474

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。主にテキストと表で構成されており、パネルウィンドウに表示されるエラー番号と対応するエラー名称、内容・原因・対処方法が一覧形式で示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー表（動作解除レベルエラー）

| エラーNo. | エラー名称                     | 内容・原因 / 対処方法                                                                                   |
| :------- | :---------------------------- | :----------------------------------------------------------------------------------------------------- |
| C89      | 加減速度指定エラー             | 加減速度指定に異常があります。                                                                         |
| C8B      | 円・円弧計算ロジック異常       | 円弧処理ロジック異常です。                                                                             |
| C8D      | 円・円弧計算エラー             | 円弧移動できないポジションデータが指定されました。ポジションデータを確認してください。                 |
| C8E      | コマンド実行中ポジション削除エラー | 連続ポジション移動計算処理中に最終ポジションデータが削除されました。                                   |
| C8F      | 軸動作種別エラー               | 軸動作種別が異常です。軸別パラメーターNo.1 “軸動作種別”確認し、動作種別に合った動作を行ってください。   |
| C90      | スプライン計算ロジック異常     | スプライン処理ロジック異常です。                                                                       |
| C91      | 押付け2軸以上指定エラー         | 2軸以上の押付けが指定されました。                                                                       |
| C92      | 押付けアプローチ距離・速度指定エラー | 押付けアプローチ距離、速度の指定が異常です。                                                           |
| C93      | システム出力操作エラー         | ユーザーが、システム出力（I/Oパラメーター出力機能選択指定ポート、軸別パラメーターゾーン出力ポートなど）の操作を試みました。 |
| C94      | PIOプログラムNo.エラー         | PIOで指定されたプログラムNo.が1～128以外を指定しています。                                             |
| C95      | AUTOプログラムNo.エラー        | その他パラメーターNo.1 “オートスタートプログラムNo.”が異常です。                                       |
| C97      | 動作打切り時I/O処理プログラムNo.エラー | その他パラメーターNo.2 “動作・プログラム打切時I/O処理プログラムNo.”が異常です。                         |
| C98      | 動作一時停止時I/O処理プログラムNo.エラー | その他パラメーターNo.3 “全動作一時停止時I/O処理プログラムNo.”が異常です。                             |
| C99      | 原点センサー未検出エラー       | 原点センサーを検出できません。配線・センサーを確認してください。                                       |
| C9A      | クリープセンサー未検出エラー   | クリープセンサーを検出できません。配線・センサーを確認してください。                                   |
</contents>
