ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page475

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で構成されており、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキスト部分はエラーの説明や対処方法の詳細が記載されており、表部分がメインの構成です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### エラー表

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                                         |
| :------- | :-------------------------------- | :-------------------------------------------------------------------------------------------------------------------------------------------- |
| C9B      | Z相未検出エラー                   | Z相を検出できません。配線・エンコーダーを確認してください。バッテリーレスアブソエンコーダーでマルチスライダー仕様の場合、スライダー同士が接近している可能性があります。その場合は、スライダーの間隔を開けて再度原点復帰を行ってください。 |
| C9C      | Z相位置不良エラー                 | Z相位置不良です。メカエンド・原点センサーの経年変化の可能性もあります。再調整必要です。                                                     |
| C9D      | カードパラメーターライトエラー   | カードパラメーターライト異常です。                                                                                                           |
| C9E      | サーボ計算オーバーフローエラー   | サーボ内部計算異常です。                                                                                                                       |
| CA1      | アブソデータバックアップバッテリー電圧異常（ドライバー解析） | アブソデータバックアップバッテリーの電圧が低下している、エンコーダーケーブル不良やコネクター接触不良が考えられます。アブソデータバックアップバッテリー接続確認・交換、エンコーダーケーブル接続確認後、アブソリュートリセットを行ってください。 |
| CA2      | アブソデータバックアップバッテリー電圧異常（メイン解析） | アブソデータバックアップバッテリーの電圧が低下している、エンコーダーケーブル不良やコネクター接触不良が考えられます。アブソデータバックアップバッテリー接続確認・交換、エンコーダーケーブル接続確認後、アブソリュートリセットを行ってください。 |
| CA3      | スレーブ設定データ入力範囲外エラー | スレーブへの設定データが許容範囲外です。                                                                                                     |
| CA5      | 停止偏差オーバーフローエラー     | 停止中に外力により動いたか、減速中に動作が拘束された可能性があります。ジョグ動作中の動作拘束（障害物接触や、原点復帰前ジョグ中メカエンド接触など）や、減速中の配線異常・エンコーダー故障・モーター故障の場合も発生する可能性があります。 |
| CA6      | パレタイズNo.異常                 | パレタイズNo.の指定値が異常です。                                                                                                             |
| CA7      | パレタイズ千鳥偶数列数設定異常   | パレタイズの千鳥設定の偶数列個数の設定値が異常です。                                                                                         |
| CA8      | パレタイズピッチ設定値異常       | パレタイズピッチの設定値が異常です。                                                                                                         |
| CA9      | パレタイズ軸方向ブレース点数設定値異常 | パレタイズのX・Y軸方向の個数の設定値が異常です。                                                                                             |
| CAA      | パレタイズPASE、PAPS未宣言エラー | パレタイズ設定コマンドのPASE、PAPSのどちらも未設定です。どちらかを設定してください。                                                       |

</contents>
