ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page476

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキストは主にエラーの説明と対処方法の記述で構成されており、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

#### エラー一覧表（動作解除レベルエラー）

| エラーNo. | エラー名称 | 内容・原因 / 対処方法 |
| :--- | :--- | :--- |
| CAB | パレタイズ位置No.異常 | パレタイズ位置No.の指定値が異常です。 |
| CAC | パレタイズ位置No.設定オーバー | パレタイズ位置No.の指定値が、現在のパレタイズ設定で計算された位置No.の範囲を超えています。 |
| CAD | パレタイズPX・PY・PZ軸同一軸設定エラー | パレタイズ用のPX・PY・PZ軸のどれか二つを同一の軸で指定しました。 |
| CAE | パレタイズ3点ティーチング用ポジションデータ有効軸数過少 | パレタイズ3点ティーチング用のポジションデータにおいて、有効軸数が不足しています。パレタイズPX・PY平面を構成する軸を指定できません。 |
| CAF | パレタイズ3点ティーチング用ポジションデータ有効軸数過多 | パレタイズ3点ティーチング用のポジションデータにおいて、有効軸数が過剰です。パレタイズPX・PY平面を構成する軸を特定できません。 |
| CB0 | パレタイズ3点ティーチング用ポジションデータ有効軸不整合 | パレタイズ3点ティーチング用ポジションデータの有効軸パターンが一致していません。 |
| CB1 | パレタイズ3点ティーチング時オフセット設定エラー | パレタイズ3点ティーチングの設定において、基点とPX軸終点が同じ時、千鳥設定オフセットを設定（ゼロではない）することはできません。 |
| CB2 | BGPA, EDPAペアエンドミスマッチエラー | BGPA、EDPA構文異常。BGPA未宣言時にEDPAを宣言したか、またはBGPA宣言後、EDPAを宣言せずにBGPAを宣言しています。 |
| CB4 | アーチモーション関連Z軸未宣言エラー | 【内容・原因】アーチモーションZ軸が未宣言です。<br>【対処方法】PCHZ、ACHZ、またはXACZによるZ軸宣言を行ってください。 |
| CB5 | パレタイズ設定時BGPA未宣言エラー | BGPAを宣言せずにパレタイズ設定をおこなってはいけません。BGPAを宣言してください。 |
| CB6 | パレタイズポイントエラー | 【内容・原因】パレタイズ、アーチモーションのポジションに異常があります。<br>【対処方法】アーチモーション関連Z軸成分以外がないなどポジションデータを確認してください。 |
| CB7 | アーチトリガー未宣言エラー | 【内容・原因】アーチトリガーが宣言されていません。<br>【対処方法】PTRG、ATRG、またはXATGによるアーチトリガー宣言を行ってください。 |
| CB8 | パレタイズ角度取得時3点ティーチング未設定エラー | パレタイズ3点ティーチング設定後でないと、パレタイズ角度取得はできません。 |

</contents>
