ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page477

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。主に表形式でエラーNo.、エラー名称、内容・原因および対処方法が一覧化されています。テキスト部分はエラーの説明や対処方法の詳細が記載されており、表部分はエラー情報を体系的に整理しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

| エラーNo. | エラー名称 | 内容・原因 / 対処方法 |
| :--- | :--- | :--- |
| CB9 | パレタイズ角度取得時 PX・PY軸不定エラー | 3点ティーチングのポジションデータの有効軸が多過ぎてPX・PY軸を特定できないため、角度計算ができません。 |
| CBA | パレタイズ角度取得時、基準軸、PX・PY軸不整合エラー | 角度計算基準軸が、3点ティーチングで設定されたPX・PY軸を構成する2軸のどちらでもないため、角度計算ができません。 |
| CBB | パレタイズ角度取得時、基点・PX軸終点同一エラー | 3点ティーチングの基点とPX軸終点のPZ軸成分以外のデータが同一の時、アークタンジェント計算不能のため、角度計算ができません。 |
| CBC | パレタイズモーション計算エラー | パレタイズモーション台形制御計算エラーです。 |
| CBD | MOD命令時除数0エラー | MOD命令時、除数にゼロを指定しました。 |
| CBE | 目標軌跡バウンダリーオーバーエラー | 目標位置または目標軌跡が無限ストロークモードの位置決めバウンダリーを超えています。 |
| CBF | 位置決め距離オーバーフローエラー | 位置決め距離が大き過ぎます。<br>アブソエンコーダー仕様の場合、移設後やエラーNo.C74 “実位置ソフトリミットオーバーエラー”も発生している状況であれば、アブソリュートリセットが正常に実行されず現在位置異常によるサーボパケット計算オーバーフローの可能性がありますので、取扱説明書手順に従ってアブソリュートリセットを再度行ってください。<br>（アブソリュートリセット画面の“エンコーダーエラーリセット”を行っただけでは、正しい現在位置を認識できません。必ず、手順を厳守してアブソリュートリセットを行ってください。） |
| CC0 | 軸モードエラー | 【内容・原因】<br>軸のモードが不正です。以下の場合が考えられます。<br>・コンプライアンスモード有効中に動作命令を実行した<br>・コンプライアンスモード有効中にコンベアートラッキング動作命令（TRAC1命令）を実行した<br><br>【対処方法】<br>コンプライアンスモードを無効化して、動作命令・コンベアートラッキング動作命令を実行するように、SELプログラムなどを見直してください。 |
| CC1 | 速度チェンジ条件エラー | 速度チェンジ不可能軸（Sモーション使用動作軸など）に対して速度チェンジを試みました。 |
| CC2 | ドライバーパラメーターリストNo.エラー | ドライバーパラメーターリストNo.が異常です。 |
| CC3 | 角度エラー | 角度が異常です。 |
| CC4 | SELデータエラー | SELデータが異常です。 |

</contents>
