ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page480

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。ページ全体は表形式で、エラーNo.、エラー名称、内容・原因・対処方法の3つのカラムからなるエラー一覧表が掲載されています。テキストは主にエラーの説明と対処方法の詳細で構成されており、表以外の図やグラフは含まれていません。
</overview>

<contents>
### テキスト・表
#### 7.3 エラー表
パネルウィンドウでは、Eの後にエラーNo.が表示されることを説明しています。

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                   |
| :------- | :-------------------------------- | :--------------------------------------------------------------------------------------------------------------------- |
| D22      | エンコーダー多回転リセットエラー | エンコーダー故障または、エンコーダーが回転しています。                                                               |
| D23      | エンコーダーアラームリセットエラー | エンコーダー故障                                                                                                       |
| D35      | ABSエンコーダー異常検出2          | 【内容・原因】<br>アブソリュートエンコーダーの初期化が完了しませんでした。<br>【対処方法】<br>電源再投入してください。何度か電源再投入しても再発する場合は、当社まで連絡してください。 |
| D40      | 座標系データ管理領域サムチェックエラー | 座標系データが壊れています。座標系データを初期化してください。                                                         |
| D41      | 座標系データ管理領域IDエラー       | 座標系データが壊れています。座標系データを初期化してください。                                                         |
| D42      | 座標系データサムチェックエラー     | 座標系データが壊れています。座標系データを初期化してください。                                                         |
| D43      | ファンエラー                       | 【内容・原因】<br>ファンの回転低下、停止、パラメーター設定不良を検出しました。<br>ファン装着位置および要因は、エラー詳細情報(Info.1、Info.4)に格納されます。<br>1) エラー対象のファン装着位置(エラー詳細情報 Info.1)<br>装着位置をbit単位でセットします。表示は16進数です。<br>・ビット0〜ビット5：コントローラー筐体上部の右側からファン1〜ファン6<br>・ビット28：ブレーキボード装着ファン(高容量仕様)<br>2) エラー要因(エラー詳細情報 Info.4)<br>0：コントローラー筐体装着ファンの回転低下<br>1：パラメーター設定不良(標準容量仕様に対し、ブレーキボードファン状態監視有効に設定されている)<br>2：ブレーキボード装着ファン(高容量仕様)の回転低下<br>【対処方法】<br>・コントローラー筐体に装着しているファンの場合、ファンを交換してください。<br>・ブレーキボード装着ファンの場合、当社に相談してください。 |
| D48      | SDメモリーカードアクセスエラー    | 【内容・原因】<br>SDメモリーカードにアクセスできませんでした。<br>【対処方法】<br>以下の原因が考えられます。<br>・スロットにSDメモリーカードが装着されていない。<br>・SDメモリーカードに指定されたファイルが保存されていない。<br>・SDメモリーカードに指定されたファイルが壊れている。 |

</contents>
