ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page483

<overview>
本ページは「7.3 エラー表」に関する内容で構成されています。主に表形式でエラーNo.、エラー名称、内容・原因・対処方法が一覧で示されています。テキスト部分はエラーの説明や注意事項が記載されており、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
パネルウィンドウでは、Eの後にエラーNo.が表示されます。

### 表
#### エラー一覧（コールドスタートレベルエラー）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                         |
| :------- | :-------------------------------- | :----------------------------------------------------------------------------------------------------------- |
| D79      | エンコーダーハードウェアエラー   | エンコーダーハードウェアエラーが発生しました。                                                             |
| D7A      | エンコーダーABS検出エラー         | エンコーダーABS検出エラーが発生しました。                                                                   |
| D7B      | エンコーダートランスデューサエラー | エンコーダートランスデューサエラーが発生しました。                                                         |
| D7C      | エンコーダー信号強度エラー         | エンコーダー信号強度エラーが発生しました。                                                                   |
| D7D      | エンコーダー信号アラームエラー     | エンコーダー信号アラームエラーが発生しました。                                                               |
| D7E      | エンコーダーサーマルアラームエラー | エンコーダーサーマルアラームエラーが発生しました。                                                           |
| D7F      | ボールねじスプライン軸パラメーターエラー | 軸別パラメーターNo.1、38、65、104、109、全軸共通パラメーターNo.1などを確認してください。※直線移動軸だけのエラー |
| D80      | スカラ未サポート機能エラー         | 【内容・原因】<br>スカラ未サポート機能を使用しようとしました。（※スカラ限定エラー）<br>・3軸仕様スカラをサポートしていないバージョンのコントローラーに対して、3軸スカラを接続しようとした<br>【対処方法】<br>当社まで連絡してください。 |
| D81      | 有効目標データ算出時パラメーターエラー | 有効目標データ算出時にパラメーター値異常を検出しました。軸別パラメーターNo.7、8、138などを確認してください。※スカラだけのエラー |
| D82      | 簡易干渉チェックゾーン出力No.指定エラー | 出力ポート・グローバルフラグNo.以外の数値（0は可）が入力されている場合や、I/Oパラメーターの出力機能選択でシステム出力に指定されている出力No.と重複している場合などが考えられます。※スカラだけのエラー |
| D83      | 簡易干渉チェックゾーンNo.エラー   | 簡易干渉チェックゾーンNo.が異常です。※スカラだけのエラー                                                   |
| D88      | エンコーダー情報異常エラー         | エンコーダーから取得した情報が異常です。エンコーダー故障、エンコーダーケーブル断線などが考えられます。       |
| D8A      | 最適加減速・Z位置-水平移動最適化機能内部パラメーターエラー | 最適加減速・スカラZ位置－水平移動最適化機能の内部パラメーター設定値が異常です。最適加減速、または、スカラZ位置－水平移動最適化機能は使用できません。 |

</contents>
