ファイル名: XSEL-RA_SA_RAX_SAX_RAXD_SAXD(MJ0359-9E)_page484

<overview>
本ページは「7.3 エラー表」のセクションで構成されています。ページ全体は表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されたエラー一覧表となっています。テキスト部分はエラーの説明や対処方法の詳細が含まれています。図やグラフはなく、表のみで構成されています。
</overview>

<contents>
### 表
#### エラー表（コールドスタートレベルエラー）

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                   |
| :------- | :-------------------------------- | :--------------------------------------------------------------------------------------------------------------------- |
| D8B      | 軸機構定義パラメーターエラー       | 【内容・原因】<br>軸機構定義（手首ユニットなど）のパラメーター設定が異常。<br>・機構種別の間違い<br>・設定ユニット数がサポート数を超える<br>・軸順定義（B、T軸など）が重複、不足<br>・T軸を設定した軸No.がB軸より大きい<br>【対処方法】<br>拡張モーション制御軸別パラメーターNo.23の設定を確認。 |
| D8C      | ビジョンシステムI/Fパラメーターエラー | パラメーター設定が異常。<br>I/OパラメーターNo.165～169、351～367、全軸共通パラメーターNo.61、112、121、141を確認。 |
| D8D      | ドライバー過負荷警告パラメーターエラー | 軸別パラメーターNo.114に出力ポート・グローバルフラグ・共有出力ポートNo.以外の数値（0は可）が入力されている場合や重複No.入力、I/Oパラメーターの出力機能選択やゾーン出力ポートNo.と重複している場合が考えられる。 |
| D8E      | ドライバー要求データ取得タイムアウトエラー | ドライバーCPUとのI/Fに異常あり。                                                                                       |
| D8F      | 簡易干渉チェックゾーン定義座標指定エラー | 簡易干渉チェックゾーン定義座標の指定方法が異常。<br>1～4軸または5～8軸に定義座標を指定する必要あり。                     |
| E06      | 受信タイムアウトエラー（スレーブ通信） | スレーブからのレスポンスを認識できない。                                                                                 |
| E07      | SCIオーバーランエラー（スレーブ通信） | 通信障害。ノイズ、回路障害、スレーブカードを確認。                                                                       |
| E08      | SCIフレーミングエラー（スレーブ通信） | 通信障害。ノイズ、ショート、回路障害、スレーブカードを確認。                                                             |
| E09      | SCIパリティーエラー（スレーブ通信） | 通信障害。ノイズ、ショート、回路障害、スレーブカードを確認。                                                             |
| E16      | プログラム終了確認タイムアウトエラー | プログラムが終了できない。                                                                                               |
| E17      | I/O処理プログラム起動ロジックエラー   | I/O処理プログラム起動ロジック異常。                                                                                     |
| E18      | タスクIDエラー                     | タスクIDが異常。                                                                                                         |
</contents>
